MON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
569101;Head of State;Natsagiyn Bagabandi;1003;SD;Benevolent Gentleman;High;M_MON_natsagiyn_bagabandi;x
569102;Head of Government;Nambaryn Enkhbayar;1003;SD;Ambitious Union Boss;High;M_MON_nambaryn_enkhbayar;x
569103;Minister of Armament;Luvsanvandan Bold;1003;SD;Corrupt Kleptocrat;High;M_MON_luvsanvandan_bold;x
569104;Foreign Minister;Luvsan Erdenechuluun;1003;SD;Great Compromiser;High;M_MON_luvsan_erdenechuluun;x
569105;Chief of Navy;Undistinguished suit;1003;NA;Undistinguished suit;High;Unknown;x
569106;Chief of Army;Undistinguished suit;1003;NA;Undistinguished suit;High;Unknown;x
569107;Chief of Air Force;Undistinguished suit;1003;NA;Undistinguished suit;High;Unknown;x
569108;Head of Military Intelligence;Undistinguished suit;1003;NA;Undistinguished suit;High;Unknown;x
569109;Chief of Staff;Undistinguished suit;1003;NA;Undistinguished suit;High;Unknown;x
569110;Minister of Security;Undistinguished suit;1003;SD;Undistinguished suit;High;Unknown;x
569111;Head of State;Nambaryn Enkhbayar;1003;SD;Weary Stiffneck;High;M_MON_nambaryn_enkhbayar;x
569112;Head of State;Tsakhiagiin Elbegdorj;1003;SL;Benevolent Gentleman;High;M_MON_tsakhiagiin_elbegdorj;x
569113;Head of Government;Tsakhiagiin Elbegdorj;1004;SL;Naive Optimist;High;M_MON_tsakhiagiin_elbegdorj;x
569114;Head of Government;Miyeegombyn Enkhbold;1006;SD;Silent Workhorse;High;M_MON_miyeegombyn_enkhbold;x
569115;Head of Government;Sanjaagiin Bayar;1007;SD;Backroom Backstabber;High;M_MON_sanjaagin_bayar;x
569116;Head of Government;Sükhbaataryn Batbold;1009;SD;Happy Amateur;High;M_MON_sükhbaataryn_batbold;x
569117;Foreign Minister;Sükhbaataryn Batbold;1003;SD;Apologetic Clerk;High;M_MON_sükhbaataryn_batbold;x
569118;Foreign Minister;Gombojav Zandanshatar;1009;SD;Ideological Crusader;High;M_MON_gombojav_zandanshatar;x
