MOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
40000;Head of State;Mohammed VI;2003;SC;Popular Figurehead;High;M_MOR_mohammed_vi;x
40001;Head of Government;Driss Jettou;2003;SC;Silent Workhorse;High;M_MOR_driss_jettou;x
40002;Foreign Minister;Mohamed Benaissa;2003;SC;Great Compromiser;High;M_MOR_mohamed_benaissa;x
40003;Minister of Armament;Salaheddine Mezouar;2003;SC;Resource Industrialist;High;M_MOR_salaheddine_mezouar;x
40004;Minister of Security;Mustapha Sahel;2003;SC;Crime Fighter;High;M_MOR_mustapha_sahel;x
40005;Head of Military Intelligence;Mohamed Nabil Benabdallah;2003;SC;School of Fire Support;High;M_MOR_mohamed_nabil_benabdallah;x
40006;Chief of Staff;Abdessadek Rabiaa;2003;SC;School of Defence;High;M_MOR_abdessadek_rabiaa;x
40007;Chief of Army;Mohammed VI;2003;SC;Guns and Butter Doctrine;High;M_MOR_mohammed_vi;x
40008;Chief of Navy;Mohammed VI;2003;SC;Open Seas Doctrine;High;M_MOR_mohammed_vi;x
40009;Chief of Air Force;Karim Ghellab;2003;SC;Naval Aviation Doctrine;High;M_MOR_karim_ghellab;x
