MOZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
56001;Head of State;Joaquim Chissano;2003;SD;Pig-headed Isolationist;High;M_MOZ_joaquim_chissano;x
56002;Head of Government;Joaquim Chissano;2003;SD;Flamboyant Tough Guy;High;M_MOZ_joaquim_chissano;x
56003;Foreign Minister;Oldemiro Baloi;2003;SD;Great Compromiser;High;M_MOZ_oldemiro_baloi;x
56004;Minister of Armament;Tobias Dai;2003;SD;Corrupt Kleptocrat;High;M_MOZ_tobias_dai;x
56005;Minister of Security;Jose Pacheco;2003;SD;Compassionate Gentleman;High;M_MOZ_jose_pacheco;x
56006;Head of Military Intelligence;Venancio Massingue;2003;NA;Political Specialist;High;M_MOZ_venancio_massinque;x
56007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56010;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56011;Head of State;Armando Guebuza;2005;SD;Benevolent Gentleman;High;M_MOZ_armando_guebuza;x
56012;Head of Government;Armando Guebuza;2005;SD;Silent Workhorse;High;M_MOZ_armando_guebuza;x
56013;Head of State;Afonso Dhlakama;2003;SC;Stern Imperialist;High;M_MOZ_afonso_dhlakama;x
56014;Head of Government;Afonso Dhlakama;2003;SC;Flamboyant Tough Guy;High;M_MOZ_afonso_dhlakama;x
