MTN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
55001;Head of State;Filip Vujanovic;2003;SL;Benevolent Gentleman;high;M_MTN_flilip_vujanovic;x
55002;Head of Government;Milo Djukanovic;2003;SD;Backroom Backstabber;high;M_MTN_milo_djukanovic;x
55003;Foreign Minister;Dragisa Burzan;2003;SL;Apologetic Clerk;high;M_MTN_dragisa_burzan;x
55004;Minister of Armament;Joint Ministry with Serbia;2003;NA;Undistinguished Suit;high;M_MTN_joint_ministry_with_serbia;x
55005;Minister of Security;Milan Filipovic;2003;SL;Crime Fighter;high;Mfilipovic;x
55006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;high;Unknown;x
55007;Chief of Staff;Joint Army with Serbia;2003;NA;Undistinguished Suit;high;M_MTN_joint_army_with_serbia;x
55008;Chief of Army;Joint Army with Serbia;2003;NA;Undistinguished Suit;high;M_MTN_joint_army_with_serbia;x
55009;Chief of Navy;Joint Army with Serbia;2003;NA;Undistinguished Suit;high;M_MTN_joint_army_with_serbia;x
55010;Chief of Air Force;Joint Army with Serbia;2003;NA;Undistinguished Suit;high;M_MTN_joint_army_with_serbia;x
;Replacements;;;;;;;
55011;Head of State;Milo Djukanovic;2003;SD;Ruthless Powermonger;high;M_MTN_milo_djukanovic;x
55012;Head of Government;Zeljko Sturanovic;2006;SL;Silent Workhorse;high;M_MTN_zeljko_sturanovic;x
55013;Foreign Minister;Miodrag Vlahovic;2004;SL;Great Compromiser;high;M_MTN_miodrag_vlahovic;x
55014;Foreign Minister;Milan Rocen;2004;SL;Great Compromiser;high;M_MTN_milan_rocen;x
55015;Minister of Security;Dragan Djurovic;2003;SL;Silent Lawyer;high;M_MTN_dragan_djurovic;x
55016;Minister of Security;Jusuf Kalamperovic;2003;SL;Silent Lawyer;high;M_MTN_jusuf_kalamperovic;x
55017;Minister of Armament;Bozo Vucinic;2006;SL;Resource Industrialist;high;M_MTN_bozo_vucinic;x
55018;Chief of Staff;Jovan Lakcevic;2006;NA;School of Fire Support;high;Unknown;x
55019;Chief of Staff;Dragan Milosavljevic;2006;NA;School of Fire Support;high;M_MTN_dragan_milosavljevic;x
55020;Chief of Staff;Dragan Samardzic;2010;NA;School of Psychology;high;M_MTN_dragan_samardzic;x
55021;Chief of Navy;Dragan Samardzic;2006;NA;Base Control Doctrine;high;M_MTN_dragan_samardzic;x
55022;Chief of Navy;Rajko Bulatovic;2006;NA;Indirect Approach Doctrine;high;M_MTN_rajko_bulatovic;x
55023;Chief of Air Force;Vladislav Vlahovic;2006;NA;Air Superiority Doctrine;high;M_MTN_vladislav_vlahovic;x
55024;Foreign Minister;Svetozar Marovic;2006;SL;Biased Intellectual;high;M_MTN_svetozar_marovic;x
55025;Minister of Security;Miodrag Vukovic;2009;SL;Crime Fighter;high;M_MTN_miodrag_vukovic;x
55026;Foreign Minister;Slobodan Backovic;2003;SL;Biased Intellectual;high;M_MTN_slobodan_backovic;x
55027;Head of State;Momir Bulatovic;2003;SD;Ruthless Powermonger;high;M_MTN_momir_bulatovic;x
55028;Head of Government;Momir Bulatovic;2003;SD;Political Protege;high;M_MTN_momir_bulatovic;x
55029;Foreign Minister;Nebojsa Kaludjerovic;2010;SL;Great Compromiser;high;M_MTN_nebojsa_kaludjerovic;x
55030;Head of State;Andrija Mandic;2003;SC;Pig-headed Isolationist;high;M_MTN_andrija_mandic;x
55031;Head of Government;Andrija Mandic;2003;SC;Flamboyant Tough Guy;high;M_MTN_andrija_mandic;x
55032;Head of State;Nebojsa Medojevic;2008;SL;Benevolent Gentleman;high;M_MTN_nebojsa_medojevic;x
55033;Head of State;Srdjan Milic;2008;SD;Benevolent Gentleman;high;M_MTN_srdjan_milic;x
55034;Head of State;Nikola II;2003;SL;Popular Figurehead;high;M_MTN_nikola_ii;x
55035;Head of State;Nikola II;2003;ML;Popular Figurehead;high;M_MTN_nikola_ii;x
55036;Chief of Army;Dragan Milosavljevic;2006;NA;Elastic Defence Doctrine;high;M_MTN_dragan_milosavljevic;x
