NAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
56501;Head of State;Sam Nujoma;2003;SL;Die-hard Reformer;High;M_NAM_sam_nujoma;x
56502;Head of Government;Sam Nujoma;2003;SL;Flamboyant Tough Guy;High;M_NAM_sam_nujoma;x
56503;Foreign Minister;Marco Hausiku;2003;SL;Great Compromiser;High;M_NAM_marco_hausiku;x
56504;Minister of Armament;Charles Namoloh;2003;SL;Infantry Proponent;High;M_NAM_charles_namoloh;x
56505;Minister of Security;Pendukeni Iivula-Ithana;2003;SL;Crime Fighter;High;M_NAM_pendukeni_iivula_ithana;x
56506;Head of Military Intelligence;Nickey Iyambo;2003;NA;Industrial Specialist;High;M_NAM_nickey_iyambo;x
56507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
56511;Head of State;Hifikepunye Pohamba;2005;SL;Weary Stiffneck;High;M_NAM_hifikepunye_pohamba;x
56512;Head of Government;Hifikepunye Pohamba;2005;SL;Naive Optimist;High;M_NAM_hifikepunye_pohamba;x
56513;Foreign Minister;Libertina Appolus-Amathila;2003;SL;Biased Intellectual;High;M_NAM_libertina_appolus_amathila;x
