NEP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
267301;Head of State;Gyanendra;2003;SC;Pig-headed Isolationist;High;M_NEP_gyanendra;x
267302;Head of Government;Lokendra Bahadur Chand;2003;SC;Backroom Backstabber;High;M_NEP_lokendra_bahadur_chand;x
267303;Minister of Armament;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
267304;Foreign Minister;Narendra Bikram Shah;2003;SC;Apologetic Clerk;High;M_NEP_narendra_bikram_shah;x
267305;Chief of Navy;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
267306;Chief of Army;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
267307;Chief of Air Force;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
267308;Head of Military Intelligence;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
267309;Chief of Staff;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
267310;Minister of Security;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
267311;Head of State;Pushpa Kamal Dahal;2003;ST;Powerhungry Demagogue;High;M_NEP_pushpa_kamal_dahal;x
267312;Head of Government;Pushpa Kamal Dahal;2003;ST;Flamboyant Tough Guy;High;M_NEP_pushpa_kamal_dahal;x
267313;Foreign Minister;Baburam Bhattarai;2003;ST;Ideological Crusader;High;M_NEP_baburam_bhattarai;x
267314;Foreign Minister;Krishna Bahadur Mahara;2003;ST;Great Compromiser;High;M_NEP_krishna_bahadur_mahara;x
267315;Minister of Security;Mohan Pokharel Vaidya;2003;ST;Prince of Terror;High;M_NEP_mohan_pokharel_vaidya;x
267316;Minister of Armament;Ram Bahadur Thapa;2003;ST;Corrupt Kleptocrat;High;M_NEP_ram_bahadur_thapa;x
267317;Head of Government;Surya Bahadur Thapa;2003;SC;Political Protege;High;M_NEP_surya_bahadur_thapa;x
267318;Head of Government;Sher Bahadur Deuba;2003;SL;Silent Workhorse;High;M_NEP_sher_bahadur_deuba;x
267319;Head of Government;Girija Prasad Koirala;2003;SL;Flamboyant Tough Guy;High;M_NEP_girija_prasad_koirala;x
267320;Foreign Minister;Bhekh Thapa;2003;SC;Ideological Crusader;High;M_NEP_bhekh_thapa;x
267321;Foreign Minister;K. P. Sharma Oli;2004;SL;Great Compromiser;High;M_NEP_k_p_sharma_oli;x
267322;Foreign Minister;Ramesh Nath Pandey;2005;SL;Biased Intellectual;High;M_NEP_ramesh_nath_pandey;x
