NIG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
60001;Head of State;Olusegun Obasanjo;2003;ML;Die-hard Reformer;High;M_NIG_olusegun_obasanjo;x
60002;Head of Government;Olusegun Obasanjo;2003;ML;Flamboyant Tough Guy;High;M_NIG_olusegun_obasanjo;x
60003;Foreign Minister;Joy Ogwu;2003;ML;Great Compromiser;High;M_NIG_joy_ogwu;x
60004;Minister of Armament;Theophilus Danjuma;2003;ML;Resource Industrialist;High;M_NIG_theophilus_danjuma;x
60005;Minister of Security;Godwin Abbe;2003;SC;Crime Fighter;High;M_NIG_godwin_abbe;x
60006;Head of Military Intelligence;Uche Okeke;2003;NA;Political Specialist;High;M_NIG_uche_okeke;x
60007;Chief of Staff;Alexander Ogomudia;2003;NA;School of Manoeuvre;High;Unknown;x
60008;Chief of Army;Alexander Ogomudia;2003;NA;Armoured Spearhead Doctrine;High;Unknown;x
60009;Chief of Air Force;Jonah Wuyep;2003;NA;Air Superiority Doctrine;High;Unknown;x
60010;Chief of Navy;Samuel Afolayan;2003;NA;Decisive Naval Battle Doctrine;High;M_NIG_samuel_afolayan;x
60011;Head of State;Umaru Yar'Adua;2007;ML;Benevolent Gentleman;High;M_NIG_umaru_yar'adua;x
60012;Head of Government;Umaru Yar'Adua;2007;ML;Silent Workhorse;High;M_NIG_umaru_yar'adua;x
60013;Head of State;Muhammadu Buhari;2003;PA;Stern Imperialist;High;M_NIG_muhammadu_buhari;x
60014;Head of Government;Muhammadu Buhari;2003;PA;Flamboyant Tough Guy;High;M_NIG_muhammadu_buhari;x
60015;Foreign Minister;Ojo Maduekwe;2003;ML;Biased Intellectual;High;M_NIG_ojo_maduekwe;x
60016;Foreign Minister;Bagudu Hirse;2003;ML;Apologetic Clerk;High;M_NIG_bagudu_hirse;x
60017;Minister of Armament;Godwin Abbe;2003;SC;Military Entrepreneur;High;M_NIG_godwin_abbe;x
60018;Minister of Armament;Rabiu Kwankwaso;2003;ML;Administrative Genius;High;M_NIG_rabiu_kwankwaso;x
60019;Minister of Armament;Thomas Aguiyi-Ironsi;2006;ML;Tank Proponent;High;M_NIG_thomas_agiuyi-ironsi;x
60020;Minister of Armament;Yayale Ahmed;2006;ML;Corrupt Kleptocrat;High;M_NIG_yayale_ahmed;x
60021;Head of Military Intelligence;Emmanuel Imohe;2003;NA;Logistics Specialist;High;Unknown;x
60022;Chief of Air Force;Paul Dike;2003;NA;Army Aviation Doctrine;High;M_NIG_paul_dike;x
60023;Chief of Staff;Paul Dike;2006;NA;School of Fire Support;High;M_NIG_paul_dike;x
60024;Chief of Air Force;Oluseyi Petinrin;2007;NA;Air Superiority Doctrine;High;M_NIG_oluseyi_petinrin;x
60025;Chief of Staff;Owoye Andrew Azazi;2005;NA;School of Psychology;High;M_NIG_owoye_andrew_azazi;x
60026;Chief of Army;Owoye Andrew Azazi;2003;NA;Decisive Battle Doctrine;High;M_NIG_owoye_andrew_azazi;x
60027;Chief of Staff;Martin Luther Agwai;2006;NA;School of Psychology;High;M_NIG_martin_luther_agwai;x
60028;Chief of Army;Martin Luther Agwai;2003;NA;Guns and Butter Doctrine;High;M_NIG_martin_luther_agwai;x
60029;Chief of Navy;Ganiyu Adekeye;2003;NA;Indirect Approach Doctrine;High;M_NIG_ganiyu_adekeye;x
60030;Chief of Army;Luka Yusuf;2006;NA;Elastic Defence Doctrine;High;M_NIG_luka_yusuf;x
60031;Chief of Air Force;Gabriel Odesola;2008;NA;Army Aviation Doctrine;High;M_NIG_gabriel_odesola;x
60032;Chief of Air Force;Anene Okafor;2006;NA;Air Superiority Doctrine;High;M_NIG_anene_okafor;x
