NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x 
61001;Head of State;Harald V;2003;SC;Popular Figurehead;Very High;M_NOR_harald_v;x
61002;Head of Government;Kjell Magne Bondevik;2003;ML;Naive Optimist;High;M_NOR_kjell_magne_bondevik;x
61003;Foreign Minister;Jan Petersen;2003;ML;General Staffer;High;M_NOR_jan_petersen;x
61004;Minister of Armament;Kristin Krohn Devold;2003;ML;Corrupt Kleptocrat;High;M_NOR_kristin_krohn_devold;x
61005;Minister of Security;Odd Einar Dørum;2003;ML;Compassionate Gentleman;High;M_NOR_odd_einar_dørum;x
61006;Head of Military Intelligence;Torgeir Hagen;2003;ML;Technical Specialist;High;M_NOR_torgeir_hagen;x
61007;Chief of Staff;Sigurd Frisvold;2003;ML;School of Defence;High;M_NOR_sigurd_frisvold;x
61008;Chief of Army;Lars Johan Sølvberg;2003;ML;Static Defence Doctrine;High;M_NOR_lars_johan_sølvberg;x
61009;Chief of Navy;Jan Eirik Finseth;2003;ML;Indirect Approach Doctrine;High;M_NOR_jan_eirik_finseth;x
61010;Chief of Air Force;Tomas Colin Archer;2003;ML;Air Superiority Doctrine;High;M_NOR_tomas_colin_archer;x
;Replacements;;;;;;;x
61011;Head of State;Haakon VIII;2003;ML;Popular Figurehead;Very High;M_NOR_haakon_vii;x
61012;Head of State;Tore Tvedt;2003;NS;Ruthless Powermonger;Very High;M_NOR_tore_tvedt;x
61013;Head of State;Torstein Dahle;2003;LE;Die-hard Reformer;High;M_NOR_torstein_dahle;x
61014;Head of Government;Jens Stoltenberg;2003;SD;Silent Workhorse;High;M_NOR_jens_stoltenberg;x
61015;Head of Government;Siv Jensen;2003;PA;Corporate Suit;High;M_NOR_siv_jensen;x
61016;Head of Government;Helga Pedersen;2003;SD;Smiling Oilman;High;M_NOR_helga_pedersen;x
61017;Head of Government;Vidar Kleppe;2003;FA;Backroom Backstabber;High;M_NOR_vidar_kleppe;x
61018;Head of Government;Ingrid Baltzersen;2003;LWR;Ambitious Union Boss;High;M_NOR_ingrid_baltzersen;x
61019;Head of Government;Tore Tvedt;2003;NS;Backroom Backstabber;High;M_NOR_tore_tvedt;x
61020;Foreign Minister;Jonas Gahr Støre;2003;SD;Biased Intellectual;Very High;M_NOR_jonas_gahr_støre;x
61021;Foreign Minister;Morten Høglund;2003;PA;Ideological Crusader;High;M_NOR_morten_høglund;x
61022;Foreign Minister;Erik Solheim;2003;LWR;Great Compromiser;High;M_NOR_erik_solheim;x
61023;Foreign Minister;Svein Otto Nilsen;2003;FA;Apologetic Clerk;High;M_NOR_svein_otto_nilsen;x
61024;Foreign Minister;Ana Lopez Tylor;2003;LE;General Staffer;High;M_NOR_ana_lopez_tylor;x
61025;Minister of Armament;Anne-Grete Strøm Erichsen;2003;SD;Resource Industrialist;High;M_NOR_anne-grete_strøm_erichsen;x
61026;Minister of Armament;Per Ove Width;2003;PA;Laissez Faires Capitalist;High;M_NOR_per_ove_width;x
61027;Minister of Armament;Bjørn Jacobsen;2003;LE;Theoretical Scientist;High;M_NOR_bjørn_jacobsen;x
61028;Minister of Armament;Heidi Grande Røys;2003;LWR;Administrative Genius;High;M_NOR_heidi_grande_røys;x
61029;Minister of Security;Knut Storberget;2003;SD;Man of the People;High;M_NOR_knut_solberg;x
61030;Minister of Security;Erna Solberg;2003;ML;Crime Fighter;High;M_NOR_erna_solberg;x
61031;Minister of Security;Anne Marit Bjørnflaten;2003;SD;Silent Lawyer;High;M_NOR_anne_marit_bjørnflaten;x
61032;Minister of Security;Mimir Kristjansson;2003;LE;Man of the People;High;M_NOR_mimir_kristjansson;x
61033;Minister of Security;Jan Arild Ellingsen;2003;PA;Efficient Sociopath;High;M_NOR_jan_arild_ellingsen;x
61034;Head of Military Intelligence;Jørn Holme;2003;PA;Dismal Enigma;High;M_NOR_jørn_holme;x
61035;Head of Military Intelligence;Jan Fredrik Blom;2003;SD;Logistics Specialist;High;M_NOR_jan_fredrik_blom;x
61036;Chief of Staff;Sverre Diesen;2003;SD;School of Psychology;High;M_NOR_sverre_diesen;x
61037;Chief of Staff;Bernt Brovold;2003;PA;School of Mass Combat;High;M_NOR_bernt_brovold;x
61038;Chief of Army;Robert Mood;2003;SL;Elastic Defence Doctrine;High;M_NOR_robert_mood;x
61039;Chief of Army;Arne Skjærpe;2003;PA;Guns and Butter Doctrine;High;M_NOR_arne_skjærpe;x
61040;Chief of Navy;Erik Alf Bøe;2003;SD;Indirect Approach Doctrine;High;M_NOR_erik_alf_bøe;x
61041;Chief of Navy;Hans Cristian Helseth;2003;SC;Open Seas Doctrine;High;M_NOR_hans_cristian_helseth;x
61042;Chief of Navy;Bjørn Egenberg;2003;PA;Base Control Doctrine;High;M_NOR_bjørn_egenberg;x
61043;Chief of Air Force;Stein Nodeland;2003;SD;Naval Aviation Doctrine;High;M_NOR_stein_nodeland;x
