NZL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
58501;Head of State;Queen Elizabeth II;2003;ML;Popular Figurehead;High;M_NZL_elizabeth_ii;x
58502;Head of Government;Helen Clark;2003;SL;Backroom Backstabber;High;M_NZL_helen_clark;x
58503;Foreign Minister;Phil Goff;2003;SL;Apologetic Clerk;High;M_NZL_phil_goff;x
58504;Minister of Armament;Michael Cullen;2003;SL;Corrupt Kleptocrat;High;M_NZL_michael_cullen;x
58505;Minister of Security;George Hawkins;2003;SL;Silent Lawyer;High;M_NZL_george_hawkins;x
58506;Head of Military Intelligence;Richard Woods;2003;ML;Political Specialist;High;M_NZL_richard_woods;x
58507;Chief of Staff;Jerry Mateparae;2003;ML;School of Psychology;High;M_NZL_jerry_mateparae;x
58508;Chief of Army;Jerry Mateparae;2003;ML;Decisive Battle Doctrine;High;M_NZL_jerry_mateparae;x
58509;Chief of Navy;David Ian Ledson;2003;ML;Open Seas Doctrine;High;M_NZL_david_ian_ledson;x
58510;Chief of Air Force;John Hamilton;2003;ML;Vertical Envelopment Doctrine;High;M_NZL_john_hamilton;x
;Replacements;;;;;;;x
58511;Minister of Security;Rob Robinson;2003;ML;Man of the People;High;M_NZL_rob_robinson;x
58512;Minister of Security;Richard Woods;2003;ML;Compassionate Gentleman;High;M_NZL_richard_woods;x
58513;Minister of Security;Brian Tamaki;2003;PA;Man of the People;High;M_NZL_brian_tamaki;x
58514;Minister of Security;Sid Wilson;2003;FA;Prince of Terror;High;M_NZL_sid_wilson;x
58515;Head of Military Intelligence;Mark Burton;2003;SL;Technical Specialist;High;M_NZL_mark_burton;x
58516;Foreign Minister;Tim Barnett;2003;SL;Ideological Crusader;High;M_NZL_tim_barnett;x
58517;Foreign Minister;Lockwood Smith;2003;ML;Great Compromiser;High;M_NZL_lockwood_smith;x
58518;Foreign Minister;Brian Tamaki;2003;PA;Ideological Crusader;High;M_NZL_brian_tamaki;x
58519;Foreign Minister;Dail Jones;2003;SC;Biased Intellectual;High;M_NZL_dail_jones;x
58520;Foreign Minister;Kyle Chapman;2003;FA;Iron Fisted Brute;High;M_NZL_kyle_chapman;x
58521;Foreign Minister;Keith Locke;2003;LWR;Ideological Crusader;High;M_NZL_keith_locke;x
58522;Head of Government;Don Brash;2003;ML;Corporate Suit;High;M_NZL_don_brash;x
58523;Head of Government;Winston Peters;2003;SC;Backroom Backstabber;High;M_NZL_winston_peters;x
58524;Head of Government;Hannah Tamaki;2003;PA;Political Protege;High;M_NZL_hannah_tamaki;x
58525;Head of Government;Sid Wilson;2003;FA;Ambitious Union Boss;High;M_NZL_sid_wilson;x
58526;Head of Government;Jeanette Fitzsimmons;2003;LWR;Naive Optimist;High;M_NZL_jeanette_fitzsimmons;x
58527;Head of State;Brian Tamaki;2003;PA;Barking Buffoon;High;M_NZL_brian_tamaki;x
58528;Head of State;Kyle Chapman;2003;FA;Powerhungry Demagogue;High;M_NZL_kyle_chapman;x
58529;Head of State;Rod Donald;2003;LE;Die-hard Reformer;High;M_NZL_rod_donald;x
58530;Minister of Armament;John Key;2003;ML;Laissez Faires Capitalist;High;M_NZL_john_key;x
58531;Minister of Armament;Ron Mark;2003;SC;Military Entrepreneur;High;M_NZL_ron_mark;x
58532;Minister of Armament;Brian Tamaki;2003;PA;Corrupt Kleptocrat;High;M_NZL_brian_tamaki;x
58533;Minister of Armament;Sid Wilson;2003;FA;Tank Proponent;High;M_NZL_sid_wilson;x
58534;Minister of Armament;Rod Donald;2003;LWR;Theoretical Scientist;High;M_NZL_rod_donald;x
58535;Chief of Staff;John Carter;2003;ML;School of Mass Combat;High;M_NZL_john_carter;x
58536;Chief of Staff;Ron Mark;2003;SC;School of Fire Support;High;M_NZL_ron_mark;x
58537;Chief of Staff;Brian Tamaki;2003;PA;School of Mass Combat;High;M_NZL_brian_tamaki;x
58538;Chief of Staff;Sid Wilson;2003;FA;School of Psychology;High;M_NZL_sid_wilson;x
58539;Chief of Staff;Nandor Tanczos;2003;LWR;School of Defence;High;M_NZL_nandor_tanczos;x
58540;Chief of Army;Louis Gardiner;2005;ML;Guns and Butter Doctrine;High;M_NZL_louis_gardiner;x
58541;Chief of Army;Sid Wilson;2003;FA;Armoured Spearhead Doctrine;High;M_NZL_sid_wilson;x
58542;Chief of Army;Nandor Tanczos;2003;LWR;Static Defence Doctrine;High;M_NZL_nandor_tanczos;x
58543;Chief of Air Force;Bruce Reid Ferguson;2003;ML;Air Superiority Doctrine;High;M_NZL_bruce_reid_ferguson;x
58544;Chief of Air Force;Richard Newlands;2003;ML;Naval Aviation Doctrine;High;M_NZL_richard_newlands;x
58545;Chief of Air Force;Sid Wilson;2003;FA;Carpet Bombing Doctrine;High;M_NZL_sid_wilson;x
58546;Chief of Navy;Sid Wilson;2003;FA;Decisive Naval Battle Doctrine;High;M_NZL_sid_wilson;x
