OMN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
17301;Head of State;Qaboos bin Sa'id;2003;SC;Weary Stiffneck;High;M_OMN_qaboos_bin_sa'id;x
17302;Head of Government;Qaboos bin Sa'id;2003;SC;Backroom Backstabber;High;M_OMN_qaboos_bin_sa'id;x
17303;Minister of Armament;Sayyid al-Busaidi;2003;SC;Infantry Proponent;High;M_OMN_sayyid_al-busadi;x
17304;Foreign Minister;Qaboos bin Sa'id;2003;SC;Ideological Crusader;High;M_OMN_qaboos_bin_sa'id;x
17305;Chief of Navy;Salim bin Abdullah al Alawi;2003;SC;Indirect Approach Doctrine;High;M_OMN_salim_bin_abdullah_al_alawi;x
17306;Chief of Army;Said bin Nasser Al Salmi;2003;SC;Armoured Spearhead Doctrine;High;M_OMN_said_bin_nasser_al_salmi;x
17307;Chief of Air Force;Yahya Rasheed Al-Juma;2003;SC;Air Superiority Doctrine;High;M_OMN_yahya_rasheed_al-juma;x
17308;Head of Military Intelligence;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17309;Chief of Staff;Ahmed bin Harith al-Nabhani;2003;SC;School of Fire Support;High;M_OMN_ahmed_bin_harith_al-nabhani;x
17310;Minister of Security;Mohammed Al Hinai;2003;SC;Undistinguished suit;High;Unknown;x
