OTT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
15501;Head of State;Idriss Déby;2003;PA;Ruthless Powermonger;High;M_OTT_idriss_déby;x
15502;Head of Government;Idriss Déby;2003;PA;Backroom Backstabber;High;M_OTT_idriss_déby;x
15503;Foreign Minister;Moussa Faki Mahamat;2003;PA;Undistinguished Suit;High;M_OTT_moussa_faki_mahamat;x
15504;Minister of Armament;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
15505;Minister of Security;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
15506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
