PAK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
62501;Head of State;Pervez Musharraf;2003;NA;Resigned Generalissimo;High;M_PAK_pervez_musharraf;x
62502;Head of Government;Zafarullah Khan Jamali;2003;SC;Political Protege;High;M_PAK_zafarullah_khan_jamali;x
62503;Foreign Minister;Khurshid Kasuri;2003;SC;Great Compromiser;High;M_PAK_khurshid_kasuri;x
62504;Minister of Armament;Hamid Nawaz Khan;2003;SC;Military Entrepreneur;High;M_PAK_hamid_nawaz_khan;x
62505;Minister of Security;Khalid Ranjha;2003;SC;Crime Fighter;High;M_PAK_khalid_ranjha;x
62506;Head of Military Intelligence;Ehsan ul Haq;2003;PA;Logistics Specialist;High;M_PAK_ehsan_ul_haq;x
62507;Chief of Staff;Muhammad Aziz Khan;2003;PA;Elastic Defence Doctrine;High;M_PAK_mohammed_aziz_khan;x
62508;Chief of Army;Pervez Musharraf;2003;PA;Decisive Battle Doctrine;High;M_PAK_pervez_musharraf;x
62509;Chief of Navy;Shahid Karimullah;2003;PA;Base Control Doctrine;High;M_PAK_shahid_karimullah;x
62510;Chief of Air Force;Kaleem Saadat;2003;SC;Army Aviation Doctrine;High;M_PAK_kaleem_saadat;x
;Replacements;;;;;;;
62511;Head of Government;Chaudhry Shujaat Hussain;2003;SC;Silent Workhorse;High;M_PAK_chaudhry_shujaat_hussain;x
62512;Head of Government;Shaukat Aziz;2004;SC;Corporate Suit;High;M_PAK_shaukat_aziz;x
62513;Head of Government;Muhammad Mian Soomro;2007;SC;Corporate Suit;High;M_PAK_muhammad_mian_soomro;x
62514;Head of Government;Yousaf Raza Gillani;2003;SD;Ambitious Union Boss;High;M_PAK_yousaf_raza_gillani;x
62515;Foreign Minister;Inam-ul-Haq;2003;SC;Undistinguished Suit;High;M_PAK_inam_ul-haq;x
62516;Foreign Minister;Shah Mehmood Qureshi;2003;SD;Great Compromiser;High;M_PAK_shah_mehmood_qureshi;x
62517;Head of State;Asif Ali Zardari;2003;SD;Autocratic Charmer;High;M_PAK_asif_ali_zardari;x
62518;Head of State;Benazir Bhutto;2003;SD;Benevolent Gentleman;High;M_PAK_benazir_bhutto;x
62519;Head of Government;Benazir Bhutto;2003;SD;Naive Optimist;High;M_PAK_benazir_bhutto;x
62520;Minister of Armament;Chaudhry Ahmed Mukhtar;2003;SD;Resource Industrialist;High;Unknown;x
62521;Minister of Security;Chaudhry Aitzaz Ahsan;2003;SD;Crime Fighter;High;M_PAK_chaudhry_aitzaz_ahsan;x
62522;Minister of Security;Rehman Malik;2003;SD;Undistinguished Suit;High;M_PAK_rehman_malik;x
62523;Head of Government;Nawaz Sharif;2003;ML;Backroom Backstabber;High;M_PAK_nawaz_sharif;x
62524;Head of State;Nawaz Sharif;2003;ML;Autocratic Charmer;High;M_PAK_nawaz_sharif;x
62525;Minister of Security;Muhammad Barjees Tahir;2003;ML;Silent Lawyer;High;M_PAK_muhammad_barjees_tahir;x
62526;Minister of Armament;Khawaja Muhammad Asif;2003;ML;Resource Industrialist;High;M_PAK_khawaja_muhammad_asif;x
62527;Minister of Security;S.M. Zafar;2003;SC;Crime Fighter;High;M_PAK_s_m_zafar;x
62528;Minister of Security;Fazl-ur Rahman;2003;FA;Prince of Terror;High;M_PAK_fazl-ur_rahman;x
62529;Head of State;Qazi Hussain Ahmad;2003;FA;Stern Imperialist;High;M_PAK_qazi_hussain_ahmad;x
62530;Head of Government;Qazi Hussain Ahmad;2003;FA;Flamboyant Tough Guy;High;M_PAK_qazi_hussain_ahmad;x
