PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
38801;Head of State;Ali Hoseini-Khamenei;2003;PA;Die-hard Reformer;High;M_PER_ali_hoseini-khamenei;x
38802;Head of Government;Mohammad Khatami;2003;SC;Smiling Oilman;High;M_PER_mohammad_khatami;x
38803;Foreign Minister;Kamal Kharrazi;2003;SC;Iron Fisted Brute;High;M_PER_kamal_kharrazi;x
38804;Minister of Armament;Ali Shamkhani;2003;PA;Administrative Genius;High;M_PER_ali_shamkhani;x
38805;Minister of Security;Abdolvahed Mousavi-Lari;2003;SC;Crime Fighter;High;M_PER_abdolvahed_mousavi-lari;x
38806;Head of Military Intelligence;Ali Younesi;2003;PA;Political Specialist;High;M_PER_ali_younesi;x
38807;Chief of Staff;Ali Shamkhani;2003;PA;School of Defence;High;M_PER_ali_shamkhani;x
38808;Chief of Army;Hassan Firouzabadi;2003;PA;Static Defence Doctrine;High;M_PER_hassan_firouzabadi;x
38809;Chief of Navy;Abbas Mohtaj;2003;PA;Base Control Doctrine;High;Unknown;x
38810;Chief of Air Force;Reza Pardis;2003;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
38812;Head of Government;Akbar Hashemi Rafsanjani;2003;SC;Silent Workhorse;High;M_PER_akbar_hashemi_rafsanjani;x
38813;Head of Government;Mahmoud Ahmadinejad;2005;PA;Flamboyant Tough Guy;High;M_PER_mahmoud_ahmadinejad;x
38814;Minister of Security;Abdo-Nabi Namazi;2003;PA;Efficient Sociopath;High;Unknown;x
38815;Foreign Minister;Manouchehr Mottaki;2003;PA;Ideological Crusader;High;M_PER_manouchehr_mottaki;x
38816;Minister of Armament;Eshaq Jahangiri;2003;PA;Infantry Proponent;High;M_PER_eshaq_jahangiri;x
38817;Chief of Navy;Ali Shamkhani;2003;PA;Indirect Approach Doctrine;High;M_PER_ali_shamkhani;x
38818;Minister of Armament;Mostafa Najjar;2003;PA;Military Entrepreneur;High;M_PER_mostafa_najjar;x
38819;Minister of Security;Mostafa Pour-Mohammadi;2003;PA;Prince of Terror;High;M_PER_mostafa_pour-mohammadi;x
38820;Head of Military Intelligence;Gholam-Hossein Mohseni-Ejeie;2003;PA;Political Specialist;High;M_PER_gholam-hossein_mohseni-ejeie;x
38821;Head of Military Intelligence;Hassan Abbasi;2003;PA ;Political Specialist;High;M_PER_hassan_abbasi;x
38822;Foreign Minister;Hassan Abbasi;2003;PA;Ideological Crusader;High;M_PER_hassan_abbasi;x
38823;Minister of Security;Mohammad Ali Abtahi;2003;PA ;Silent Lawyer;High;M_PER_mohammad_ali_abtahi;x
38824;Minister of Security;Mahnaz Afkhami;2003;SL;Silent Lawyer;High;M_PER_mahnaz_afkhami;x
38825;Foreign Minister;Morteza Alviri;2003;PA;Apologetic Clerk;High;M_PER_morteza_alviri;x
38826;Minister of Security;Mohammad Reza Aref;2003;PA;Theoretical Scientist;High;M_PER_mohammad_reza_aref;x
38827;Foreign Minister;Ahmad Bourghani;2003;ML;Great Compromiser;High;M_PER_ahmad_bourghani;x
38828;Head of Government;Parviz Davoodi;2003;SC;Silent Workhorse;High;M_PER_parviz_davoodi;x
38829;Minister of Security;Gholam-Hossein Elham;2003;PA;Compassionate Gentleman;High;M_PER_gholam-hossein_elham;x
38830;Foreign Minister;Majid Farahani;2003;SL;Great Compromiser;High;Unknown;x
38831;Minister of Armament;Parviz Fattah;2003;PA;Theoretical Scientist;High;M_PER_parviz_fattah;x
38832;Foreign Minister;Hassan Rahimpour Azghandi;2003;PA;Iron Fisted Brute;High;Unknown;x
38833;Minister of Security;Ruhollah Hosseinian;2003;FA;Efficient Sociopath;High;M_PER_ruhollah_hosseinian;x
38834;Foreign Minister;Saeed Jalili;2005;PA;Ideological Crusader;High;M_PER_saeed_jalili;x
38835;Minister of Armament;Saeed Jalili;2005;PA;Theoretical Scientist;High;M_PER_saeed_jalili;x
38836;Minister of Security;Jamal Karimi-Rad;2003;PA;Prince of Terror;High;M_PER_jamal_karimi-rad;x
38837;Minister of Security;Ali Akbar Mousavi Khoeini;2003;SL;Man of the People;High;M_PER_ali_akbar_mousavi_khoeini;x
38838;Head of State;Reza II;2003;ML;Benevolent Gentleman;High;M_PER_reza_ii;x
38839;Minister of Armament;Mohsen Rezaee;2003;PA;Military Entrepreneur;High;M_PER_mohsen_rezaee;x
38840;Foreign Minister;Mohammad Reza Khatami;2003;SC;Ideological Crusader;High;M_PER_mohammad_reza_khatami;x
38841;Minister of Security;Mostafa Tajzadeh;2003;SC;Silent Lawyer;High;M_PER_mostafa_tajzadeh;x
