PHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
66001;Head of State;Gloria Macapagal-Arroyo;2003;SL;Benevolent Gentleman;High;M_PHI_gloria_macapagal-arroyo;x
66002;Head of Government;Gloria Macapagal-Arroyo;2003;SL;Political Protege;High;M_PHI_gloria_macapagal-arroyo;x
66003;Foreign Minister;Blas Ople;2003;SL;Great Compromiser;High;M_PHI_blas_ople;x
66004;Minister of Armament;Jose Isidro Camacho;2003;SL;Laissez faires Capitalist;High;M_PHI_jose_isidro_camacho;x
66005;Minister of Security;Hernando Perez;2003;SL;Crooked Kleptocrat;High;M_PHI_hernando_perez;x
66006;Head of Military Intelligence;Reynaldo Wycoco;2003;SL;Logistics Specialist;High;Unknown;x
66007;Chief of Staff;Gregorio Camiling;2003;SL;School of Psychology;High;M_PHI_gregorio_camiling;x
66008;Chief of Army;Gregorio Camiling;2003;SL;Guns and Butter Doctrine;High;M_PHI_gregorio_camiling;x
66009;Chief of Navy;Gilmer Batestil;2003;SL;Decisive Battle Doctrine;High;Unknown;x
66010;Chief of Air Force;Nestor Santillan;2003;SL;Vertical Envelopment Doctrine;High;M_PHI_nestor_santillan;x
;Replacements;;;;;;;x
66011;Head of State;Fernando Poe;2003;SD;Barking Buffoon;High;M_PHI_fernando_poe;x
66012;Head of Government;Fernando Poe;2003;SD;Happy Amateur;High;M_PHI_fernando_poe;x
66013;Foreign Minister;Delia Domingo Albert;2003;SL;Great Compromiser;High;M_PHI_delia_domingo_albert;x
66014;Foreign Minister;Alberto Romulo;2004;SL;Biased Intellectual;High;M_PHI_alberto_romulo;x
66015;Minister of Armament;Juanita Amatong;2003;SL;Laissez faires Capitalist;High;M_PHI_juanita_amatong;x
66016;Minister of Security;Maria Merceditas Gutierrez;2003;SL;Crime Fighter;High;Unknown;x
66017;Head of Military Intelligence;Nestor Mantaring;2003;SL;Technical Specialist;High;M_PHI_nestor_mantaring;x
66018;Chief of Staff;Efren Abu;2003;SL;School of Fire Support;High;M_PHI_efren_abu;x
66019;Chief of Staff;Generoso Senga;2003;SL;School of Psychology;High;M_PHI_generoso_senga;x
66020;Chief of Army;Efren Abu;2003;SL;Decisive Battle Doctrine;High;M_PHI_efren_abu;x
66021;Chief of Army;Generoso Senga;2003;SL;Elastic Defense Doctrine;High;M_PHI_generoso_senga;x
66022;Chief of Air Force;Jose Reyes;2003;SL;Army Aviation Doctrine;High;M_PHI_jose_reyes;x
