POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
66501;Head of State;Aleksander Kwasniewski;2003;SD;Benevolent Gentleman;High;M_POL_aleksander_kwasniewski;x
66502;Head of Government;Leszek Miller;2003;SD;Backroom Backstabber;High;M_POL_leszek_miller;x
66503;Foreign Minister;Wlodzimierz Cimoszewicz;2003;SD;Biased Intellectual;High;M_POL_wlodzimierz_cimoszewicz;x
66504;Minister of Armament;Jerzy Szmajdzinski;2003;SD;Tank Proponent;High;M_POL_jerzy_szmajdzinski;x
66505;Minister of Security;Krzysztof Janik;2003;SD;Efficient Sociopath;High;M_POL_krzysztof_janik;x
66506;Head of Military Intelligence;Marek Dukaczewski;2003;SD;Dismal Enigma;High;M_POL_marek_dukaczewski;x 
66507;Chief of Staff;Czeslaw Piatas;2003;SD;School of Defence;High;M_POL_czeslaw_piatas;x
66508;Chief of Army;Edward Pietrzyk;2003;SD;Elastic Defense Doctrine;High;M_POL_edward_pietrzyk;x
66509;Chief of Navy;Ryszard Lukasik;2003;SD;Base Control Doctrine;High;M_POL_ryszard_lukasik;x
66510;Chief of Air Force;Ryszard Olszewski;2003;SD;Air Superiority Doctrine;High;M_POL_ryszard_olszewski;x
;Replacements;;;;;;;x 
66511;Head of State;Andrzej Olechowski;2003;ML;Weary Stiffneck;High;M_POL_andrzej_olechowski;x 
66512;Head of State;Marek Borowski;2003;SD;Die-hard Reformer;High;M_POL_marek_borowski;x 
66513;Head of State;Andrzej Lepper;2003;LWR;Powerhungry Demagogue;High;M_POL_andrzej_lepper;x 
66514;Head of State;Wlodzimierz Cimoszewicz;2003;SD;Insignificant Layman;High;M_POL_wlodzimierz_cimoszewicz;x 
66515;Head of State;Maciej Giertych;2003;PA;Pig-headed Isolationist;High;M_POL_maciej_giertych;x 
66516;Head of State;Lech Kaczynski;2003;SC;Barking Buffon;High;M_POL_lech_kaczynski;x 
66517;Head of State;Donald Tusk;2003;ML;Benevolent Gentleman;High;M_POL_donald_tusk;x
66518;Head of State;Radoslaw Sikorski;2008;SC;Stern Imperialist;Very High;M_POL_radoslaw_sikorski;x
66519;Head of State;Zbigniew Ziobro;2007;SC;Barking Buffon;High;M_POL_zbigniew_ziobro;x
66520;Head of State;Janusz Korwin-Mikke;2003;PA;Pig-headed Isolationist;High;M_POL_janusz_korwin-mikke;x   
66521;Head of State;Dariusz Rosati;2006;SL;Benevolent Gentleman;High;M_POL_dariusz_rosati;x
66522;Head of State;Brygida Kuzniak;2010;ML;Benevolent Gentleman;High;M_POL_brygida_kuzniak;x
66523;Head of State;Rafal Dutkiewicz;2010;SC;Stern Imperialist;High;M_POL_rafal_dutkiewicz;x
66524;Head of State;Maria Emanuel Wettyn;2010;SC;Benevolent Gentleman;High;M_POL_maria_emanuel_wettyn;x
66525;Head of State;Aleksander of Saxe-Gessaphe;2012;SC;Insignificant Layman;High;M_POL_aleksander_of_saxe-gessaphe;x
66526;Head of State;Bogdan Zdrojewski;2010;ML;Die-hard Reformer;High;M_POL_bogdan_zdrojewski;x 
66527;Head of State;Marek Jurek;2010;SC;Pig-headed Isolationist;High;M_POL_marek_jurek;x
66528;Head of State;Janusz Dobrosz;2009;FA;Ruthless Powermonger;High;M_POL_janusz_dobrosz;x
66529;Head of State;Jan Engelgard;2003;FA;Ruthless Powermonger;High;M_POL_jan_engelgard;x
66535;Head of Government;Marek Belka;2003;SL;Silent Workhorse;Very High;M_POL_marek_belka;x
66536;Head of Government;Donald Tusk;2005;ML;Naive Optimist;High;M_POL_donald_tusk;x  
66537;Head of Government;Jan Maria Rokita;2003;SC;Flamboyant Tough Guy;High;M_POL_jan_maria_rokita;x 
66538;Head of Government;Roman Giertych;2003;PA;Flamboyant Tough Guy;High;M_POL_roman_giertych;x 
66539;Head of Government;Jaroslaw Kaczynski;2003;SC;Backroom Backstabber;High;M_POL_jaroslaw_kaczynski;x 
66540;Head of Government;Wladyslaw Frasyniuk;2003;ML;Naive Optimist;High;M_POL_wladyslaw_frasyniuk;x 
66541;Head of Government;Józef Oleksy;2003;SD;Backroom Backstabber;Medium;M_POL_józef_oleksy;x 
66542;Head of Government;Tomasz Nalecz;2003;SD;Happy Amateur;Medium;M_POL_tomasz_nalecz;x 
66543;Head of Government;Stanislaw lyzwinski;2003;LWR;Political Protege;High;M_POL_stanislaw_iyzwinski;x 
66544;Head of Government;Wojciech Olejniczak;2003;SD;Political Protege;High;M_POL_wojciech_olejniczak;x
66545;Head of Government;Kazimierz Marcinkiewicz;2003;SC;Political Protege;High;M_POL_kazimierz_marcinkiewicz;x 
66546;Head of Government;Julia Pitera;2003;ML;Flamboyant Tough Guy;High;M_POL_julia_pitera;x
66547;Head of Government;Marek Borowski;2004;SL;Silent Workhorse;High;M_POL_marek_browski;x
66548;Head of Government;Marian Filar;2005;ML;Corporate Suit;High;M_POL_marian_filar;x
66549;Head of Government;Wlodzimierz Cimoszewicz;2003;SD;Backroom Backstabber;High;M_POL_wlodzimierz_cimoszewicz;x
66550;Head of Government;Janusz Korwin-Mikke;2003;PA;Flamboyant Tough Guy;High;M_POL_janusz_korwin-mikke;x
66551;Head of Government;Kazimierz Ujazdowski;2003;SC;Silent Workhorse;High;M_POL_kazimierz_ujazdowski;x
66552;Head of Government;Marek Jurek;2003;SC;Flamboyant Tough Guy;High;M_POL_marek_jurek;x
66553;Head of Government;Artur Zawisza;2005;SC;Political Protege;High;M_POL_artur_zawisza;x
66554;Head of Government;Waldemar Pawlak;2003;SL;Silent Workhorse;Very High;M_POL_waldemar_pawlak;x
66555;Head of Government;Grzegorz Schetyna;2003;ML;Ambitious Union Boss;High;M_POL_grzegorz_schetyna;x
66556;Head of Government;Aleksander Kwasniewski;2005;SD;Naive Optimist;Very High;M_POL_aleksander_kwasniewski;x
66557;Head of Government;Sylwester Chruszcz;2009;FA;Flamboyant Tough Guy;Medium;M_POL_sylwester_chruszcz;x
66558;Head of Government;Bronislaw Komorowski;2007;ML;Corporate Suit;High;M_POL_bronislaw_komorowski;x
66559;Head of Government;Bogdan Zdrojewski;2007;ML;Smiling Oilman;High;M_POL_bogdan_zdrojewski;x
66560;Head of Government;Jan Engelgard;2003;FA;Backroom Backstabber;High;M_POL_jan_engelgard;x   
66564;Foreign Minister;Danuta Hubner;2003;SD;Great Compromiser;Medium;M_POL_danuta_hubner;x 
66565;Foreign Minister;Andrzej Olechowski;2003;ML;Biased Intellectual;High;M_POL_wojciech_olejniczak;x 
66566;Foreign Minister;Roman Giertych;2003;PA;Iron Fisted Brute;High;M_POL_roman_giertych;x
66567;Foreign Minister;Piort Tymochowicz;2004;LWR;The Cloak N Dagger Schemer;Low;M_POL_piort_tymochowicz;x 
66568;Foreign Minister;Ryszard Czarnecki;2004;LWR;Apologetic Clerk;Low;M_POL_ryszard_czarnecki;x
66569;Foreign Minister;Wojciech Wierzejski;2003;PA;Ideological Crusader;Low;M_POL_wojciech_wierzejski;x  
66570;Foreign Minister;Bronislaw Geremek;2003;ML;Great Compromiser;High;M_POL_bronislaw_geremek;x 
66571;Foreign Minister;Michal Kaminski;2004;SC;Ideological Crusader;Medium;M_POL_michal_kaminski;x 
66572;Foreign Minister;Jacek Saryusz-Wolski;2003;ML;Great Compromiser;High;M_POL_jacek_saryusz-wolski;x 
66573;Foreign Minister;Jan Kulakowski;2003;ML;Great Compromiser;High;M_POL_jan_kulakowski;x
