POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
67000;Head of State;Jorge Sampaio;2003;SL;Popular Figurehead;High;M_POR_jorge_sampaio;x
67001;Head of Government;Jose Socrates;2003;SL;Silent Workhorse;High;M_POR_jose_socrates;x
67002;Foreign Minister;Maria Manuela Franco;2003;SL;Ideological Crusader;High;M_POR_maria_manuela_franco;x
67003;Minister of Armament;Luís Amado;2003;SL;Resource Industrialist;High;M_POR_luís_amado;x
67004;Minister of Security;Maria Pinto de Fronseca;2003;SL;Crime Fighter;High;Unknown;x
67005;Head of Military Intelligence;Maria da Graça Martins;2003;SL;School of Fire Support;High;Unknown;x
67006;Chief of Staff;Maria dos Anjos Capote;2003;SL;School of Defence;High;Unknown;x
67007;Chief of Army;Gabriel Espírito Santo;2003;SL;Guns and Butter Doctrine;High;M_POR_gabriel_ espírito_santo;x
67008;Chief of Navy;Francisco A. Torres Vidal;2003;SL;Open Seas Doctrine;High;M_POR_francisco_a_torres_vidal;x
67009;Chief of Air Force;David César de Almeida Oliveira;2003;SL;Naval Aviation Doctrine;High;M_POR_david_césar_de_almeida_oliveira;x
;Replacements;;;;;;;
67011;Head of Military Intelligence;Mariano Gago;2005;SL;School of Defence;High;M_POR_mariano_gago;x
67012;Chief of Staff;Francisco Nunes Correira;2005;SL;School of Defence;High;M_POR_francisco_nunes_correira;x
67013;Foreign Minister;Diogo Freitas do Amaral;2005;SL;Great Compromiser;High;M_POR_diogo_freitas_do_amaral;x
67014;Chief of Staff;Antínio Costa;2005;SL;School of Defence;High;M_POR_antínio_costa;x
