PRI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
94501;Head of State;Eduard Kokoity;2003;PA;Stern Imperialist;High;M_PRI_eduard_kokoity;x
94502;Head of Government;Gerasim Kugayev;2003;PA;Backroom Backstabber;High;Unknown;x
94503;Foreign Minister;Murat Kuzmich Dzhioev;2003;PA;Apologetic Clerk;High;Unknown;x
94504;Minister of Armament;Anatoly Barankevich;2003;PA;Corrupt Kleptocrat;High;Unknown;x
94505;Minister of Security;Mikhail Mayramovich;2003;PA;Crooked Kleptocrat;High;Unknown;x
94506;Head of Military Intelligence;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
94507;Chief of Staff;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
94508;Chief of Army;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
94509;Chief of Navy;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
94510;Chief of Air Force;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
94511;Head of Government;Igor Sanakoyev;2003;SC;Political Protege;High;Unknown;x
94512;Head of Government;Yury Morozov;2005;SC;Backroom Backstabber;High;Unknown;x
94513;Head of Government;Zurab Kokoyev;2005;SC;Backroom Backstabber;High;Unknown;x
94514;Minister of Armament;Yuri Tanaev;2003;SC;Corrupt Kleptocrat;High;Unknown;x
94515;Minister of Security;Valery Valiev;2003;SC;Compassionate Gentleman;High;Unknown;x
