PRK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
57301;Head of State;Queen Elizabeth II;2003;ML;Popular Figurehead;Very High;M_PRK_elizabeth_ii;x
57302;Head of Government;Michael Somare;2003;SL;Naive Optimist;High;M_PRK_michael_somare;x
57303;Minister of Armament;Undistinguished suit;2003;SL;Undistinguished suit;High;Unknown;x
57304;Foreign Minister;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
57305;Chief of Navy;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
57306;Chief of Army;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
57307;Chief of Air Force;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
57308;Head of Military Intelligence;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
57309;Chief of Staff;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
57310;Minister of Security;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
