PRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65501;Head of State;Alejandro Toledo;2003;ML;Weary Stiffneck;High;M_PRU_alejandro_toledo;x 
65502;Head of Government;Alejandro Toledo;2003;ML;Naive Optimist;High;M_PRU_alejandro_toledo;x 
65503;Foreign Minister;Allan Wagner;2003;SD;Great Compromiser;High;M_PRU_allan_wagner;x 
65504;Minister of Armament;Aurelio Loret de Mola;2003;SC;Air to Ground Proponent;High;M_PRU_aurelio_loret_de_mola;x 
65505;Minister of Security;Félix Murazzo;2003;ML;Crime Fighter;High;M_PRU_félix_murazzo;x 
65506;Head of Military Intelligence;Alfonso Panizo;2003;SC;Industrial Specialist;High;M_PRU_alfonso_panizo;x 
65507;Chief of Staff;Victor Bustamante;2003;SC;School of Manoeuvre;High;M_PRU_victor_bustamante;x 
65508;Chief of Army;Roberto Chiabra;2003;ML;Armoured Spearhead Doctrine;High;M_PRU_roberto_chiabra;x 
65509;Chief of Navy;Ricardo Arbocco;2003;SC;Base Control Doctrine;High;M_PRU_ricardo_arbocco;x 
65510;Chief of Air Force;Aurelio Crovetto;2003;ML;Army Aviation Doctrine;High;M_PRU_aurelio_crovetto;x 
;Replacements;;;;;;;x 
65511;Foreign Minister;Manuel Rodríguez Cuadros;2003;ML;Great Compromiser;High;M_PRU_manuel_rodríguez_cuadros;x 
65512;Minister of Armament;Roberto Chiabra;2003;ML;Tank Proponent;High;M_PRU_roberto_chiabra;x 
65513;Minister of Security;Gustavo Carrión;2003;SC;Crime Fighter;High;M_PRU_gustavo_carrión;x 
65514;Head of Military Intelligence;Daniel Mora Zevallos;2003;ML;Logistics Specialist;High;Unknown;x 
65515;Head of Military Intelligence;Ricardo Arbocco;2003;SC;Political Specialist;High;M_PRU_ricardo_arbocco;x 
65516;Chief of Staff;Aurelio Crovetto;2003;ML;School of Fire Support;High;M_PRU_aurelio_crovetto;x 
65517;Chief of Army;Luis Muñoz;2003;ML;Guns and Butter Doctrine;High;Unknown;x 
65518;Chief of Navy;José Luis Noriega;2003;SC;Open Seas Doctrine;High;M_PRU_josé_luis_noriega;x 
65519;Chief of Air Force;Orlando Denegri;2003;SC;Air Superiority Doctrine;High;M_PRU_orlando_denegri;x 
