RHO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
83001;Head of State;Gnassingbé Eyadéma;2003;PA;Barking Buffoon;High;M_RHO_gnassingbé_eyadéma;x
83002;Head of Government;Gnassingbé Eyadéma;2003;PA;Ambitious Union Boss;High;M_RHO_gnassingbé_eyadéma;x
83003;Foreign Minister;Kofi Esaw;2003;PA;Apologetic Clerk;High;M_RHO_kofi_esaw;x
83004;Minister of Armament;Faure Gnassingbe;2003;PA;Corrupt Kleptocrat;High;M_RHO_faure_gnassingbe;x
83005;Minister of Security;Atcha Titipkina;2003;PA;Silent Lawyer;High;M_RHO_atcha_titpkina;x
83006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
83007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
83008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
83009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
83010;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
83011;Head of State;Faure Gnassingbe;2003;PA;Barking Buffoon;High;M_RHO_faure_gnassingbe;x
83012;Head of Government;Faure Gnassingbe;2003;PA;Naive Optimist;High;M_RHO_faure_gnassingbe;x
