ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
68501;Head of State;Ion Iliescu;2003;SL;Autocratic Charmer;High;M_ROM_ion_iliescu;x
68502;Head of Government;Adrian Nastase;2003;SL;Political Protege;High;M_ROM_adrian_nastase;x
68503;Foreign Minister;Mircea Geoana;2003;SL;Biased Intellectual;High;M_ROM_mircea_geoana;x
68504;Minister of Armament;Mihai Tanasescu;2003;SL;Laissez Faire Capitalist;High;M_ROM_mihai_tanasescu;x
68505;Minister of Security;Mihaela Rodica Stanoiu;2003;SL;Crooked Kleptocrat;High;M_ROM_mihaela_rodica_staniou;x
68506;Head of Military Intelligence;Gheorghe Fulga;2003;SL;Logistics Specialist;High;M_ROM_gheorghe_fulga;x
68507;Chief of Staff;Mihail Popescu;2003;NA;School of Defence;High;M_ROM_mihail_popescu;x
68508;Chief of Army;Eugen Badalan;2003;NA;Elastic Defence Doctrine;High;M_ROM_badalan_eugen;x
68509;Chief of Navy;Corneliu Rudencu;2003;NA;Indirect Approach Doctrine;High;M_ROM_corneliu_rudencu;x
68510;Chief of Air Force;Gheorghe Catrina;2003;NA;Air Superiority Doctrine;High;M_ROM_gheorghe_catrina;x
;Replacements;;;;;;;x
68511;Head of State;Traian Basescu;2004;ML;Autocratic Charmer;High;M_ROM_traian_basescu;x
68512;Head of State;Adrian Nastase;2003;SL;Weary Stiffneck;High;M_ROM_adrian_nastase;x
68513;Head of State;Corneliu Vadim Tudor;2003;NS;Barking Buffon;High;M_ROM_corneliu_vadim_tudor;x
68514;Head of State;Ion Iliescu;2003;ST;Autocratic Charmer;High;M_ROM_ion_iliescu;x
68515;Head of Government;Calin Popescu-Tariceanu;2004;ML;Corporate Suit;High;M_ROM_calin_popescu-tariceanu;x
68516;Head of Government;Mircea Geoana;2003;SL;Happy Amateur;High;M_ROM_mircea_geoana;x
68517;Head of Government;Lucian Bolcas;2003;NS;Happy Amateur;High;M_ROM_lucian_bolcas;x
68518;Head of Government;Nicolae Vacaroiu;2008;SL;Naive Optimist;High;M_ROM_nicolae_vacaroiu;x
68519;Foreign Minister;Mihai-Razvan Ungureanu;2004;ML;Great Compromiser;High;M_ROM_mihai-razvan_ungureanu;x
68520;Foreign Minister;Lia Vasilescu;2003;NS;Great Compromiser;High;M_ROM_lia_vasilescu;x
68521;Foreign Minister;Adrian Severin;2003;ST;Iron Fisted Brute;High;M_ROM_adrian_severin;x
68522;Minister of Armament;Ionut Popescu;2003;ML;Corrupt Kleptocrat;High;M_ROM_ionut_popescu;x
68523;Minister of Armament;Sebastian Vladescu;2003;ML;Resource Industrialist;High;M_ROM_sebastian_vladescu;x
68524;Minister of Armament;Gheorghe Funar;2003;NS;Resource Industrialist;High;M_ROM_gheorghe_funar;x
68525;Minister of Armament;Viorel Hrebenciuc;2003;ST;Corrupt Kleptocrat;High;M_ROM_viorel_hrebenciuc;x
68526;Minister of Security;Monica Luisa Macovei;2004;ML;Crooked Kleptocrat;High;M_ROM_monica_luisa_macovei;x
68527;Minister of Security;Dumitru Dragomir;2003;NS;Crooked Kleptocrat;High;M_ROM_dumitru_dragomir;x
68528;Minister of Security;Octav Cozmanca;2003;ST;Prince of Terror;High;M_ROM_octav_cozmanca;x
