RSI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
69501;Head of State;Paul Kagame;1003;PA;Stern Imperialist;High;M_RSI_paul_kagame;x
69502;Head of Government;Paul Kagame;1003;PA;Flamboyant Tough Guy;High;M_RSI_paul_kagame;x
69503;Foreign Minister;Monique Mukaruliza;1003;PA;Ideological Crusader;High;M_RSI_monique_mukaruliza;x
69504;Minister of Armament;Marcel Gatsinzi;1003;PA;Military Entrepreneur;High;M_RSI_marcel_gatsinzi;x
69505;Minister of Security;Louise Mushikiwabo;1003;PA;Silent Lawyer;High;M_RSI_louise_mushikiwabo;x
69506;Head of Military Intelligence;Undistinguished Suit;1003;PA;Undistinguished Suit;High;Unknown;x
69507;Chief of Staff;James Kabarebe;1003;PA;School of Psychology;High;M_RSI_james_kabarebe;x
69508;Chief of Army;Charles Kayonga;1003;PA;Elastic Defence Doctrine;High;M_RSI_charles_kayonga;x
69509;Chief of Air Force;Charles Muhire;1003;PA;Army Aviation Doctrine;High;M_RSI_charles_muhire;x
69510;Chief of Navy;N/A;1003;PA;Undistinguished Suit;High;Unknown;x
69511;Head of State;Faustin Twagiramungu;1003;SL;Benevolent Gentleman;High;M_RSI_faustin_twagiramungu;x
69512;Head of Government;Faustin Twagiramungu;1003;SL;Flamboyant Tough Guy;High;M_RSI_faustin_twagiramungu;x
