RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
69001;Head of State;Vladimir Putin;2003;SC;Die-hard Reformer;High;M_RUS_vladimir_putin;x 
69002;Head of Government;Mikhail Kasyanov;2003;ML;Corporate Suit;High;M_RUS_mikhail_kasyanov;x 
69003;Foreign Minister;Igor Ivanov;2003;SC;Apologetic Clerk;High;M_RUS_igor_ivanov;x 
69004;Minister of Armament;Sergey Ivanov;2003;SC;Laissez Faire Capitalist;Very High;M_RUS_sergey_ivanov;x 
69005;Minister of Security;Nikolay Patrushev;2003;SC;Back Stabber;High;M_RUS_nikolay_patrushev;x 
69006;Head of Military Intelligence;Sergey Lebedev;2003;SC;Dismal Enigma;High;M_RUS_sergey_lebedev;x 
69007;Chief of Staff;Anatoliy Kvashnin;2003;LE;School of Defence;Very High;M_RUS_anatoliy_kvashnin;x 
69008;Chief of Army;Nikolai Kormiltsev;2003;LE;Guns and Butter Doctrine;High;M_RUS_nikolai_kormiltsev;x 
69009;Chief of Navy;Vladimir Kuroyedov;2003;SL;Decisive Naval Battle Doctrine;High;M_RUS_vladimir_kuroyedov;x 
69010;Chief of Air Force;Vladimir Mikhailov;2003;SC;Air Superiority Doctrine;Medium;M_RUS_vladimir_mikhailov;x
;Replacements;;;;;;;
69012;Head of State;Gennadiy Zyuganov;2003;LE;Weary Stiffneck;High;M_RUS_gennadiy_zyuganov;x 
69013;Head of State;Sergey Glaziev;2003;FA;Stern Imperialist;High;M_RUS_sergey_glaziev;x 
69014;Head of State;Irina Hakamada;2003;ML;Die-hard Reformer;High;M_RUS_irina_hakamada;x 
69015;Head of State;Nikolay Kharitonov;2003;LWR;Pig-headed Isolationist;High;M_RUS_nikolay_kharitonov;x 
69016;Head of State;Mikhail Gorbachev;2003;SL;Barking Buffoon;High;M_RUS_mikhail_gorbachev;x 
69017;Head of State;Eduard Limonov;2003;LWR;Power-Hungry Demagogue;High;M_RUS_eduard_liomonov;x 
69018;Head of State;Mikhail Kasyanov;2003;ML;Insignificant Layman;High;M_RUS_mikhail_kasyanov;x 
69019;Head of State;Sergey Udaltsov;2003;ST;Stern Imperialist;High;M_RUS_sergey_udaltsov;x 
69020;Head of Government;Mikhail Fradkov;2003;SC;Political Protege;High;M_RUS_mikhail_fradkov;x 
69021;Head of Government;Viktor Zubkov;2003;SD;Silent Workhorse;High;M_RUS_viktor_zubkov;x 
69022;Head of Government;Viktor Chernomirdin;2003;SL;Naive Optimist;High;M_RUS_viktor_chernomirdin;x 
69023;Head of Government;Vladimir Ryzhkov;2003;ML;Happy Amateur;High;M_RUS_vladimir_ryzhkov;x 
69024;Head of Government;Dmitriy Rogozin;2003;FA;Ambitious Union Boss;High;M_RUS_dmitriy_rogozin;x 
69025;Head of Government;Igor Sechin;2003;PA;Backroom Backstabber;High;M_RUS_igor_sechin;x 
69026;Head of Government;Sergey Mironov;2003;SC;Flamboyant Tough Guy;High;M_RUS_sergey_mironov;x 
69027;Head of Government;Gennadiy Seleznev;2003;LE;Political Protege;High;M_RUS_gennadiy_seleznev;x 
69028;Head of Government;Nikita Belih;2003;ML;Naive Optimist;High;M_RUS_nikita_belih;x 
69029;Head of Government;Vladimir Plotnikov;2003;LWR;Happy Amateur;High;M_RUS_vladimir_plotnikov;x
69030;Head of Government;Gennadiy Zuganov;2003;LE;Flamboyant Tough Guy;High;M_RUS_gennadiy_zyuganov;x 
69031;Foreign Minister;Sergey Lavrov;2003;PA;Iron-fisted Brute;High;M_RUS_sergey_lavrov;x 
69032;Foreign Minister;Andrey Kozyrev;2003;SL;Great Compromiser;High;M_RUS_andrey_kozyrev;x 
69033;Foreign Minister;Yevgeniy Primakov;2003;LE;Ideological Crusader;High;M_RUS_yevgeniy_primakov;x 
69034;Foreign Minister;Andrey Denisov;2003;NS;Great Compromiser;High;M_RUS_andrey_denisov;x 
69035;Foreign Minister;Alexandr Grushko;2003;LWR;Apologetic Clerk;High;M_RUS_alexandr_grushko;x 
69036;Foreign Minister;Garry Kasparov;2003;ML;Biased Intellectual;High;M_RUS_garry_kasparov;x 
69037;Foreign Minister;Maria Gaidar;2003;ML;Ideological Crusader;High;M_RUS_maria_gaidar;x 
69038;Minister of Armament;Anatoliy Isaikin;2003;SC;Military Entrepreneur;High;M_RUS_anatoliy_isaikin;x 
69039;Minister of Armament;Nikolay Aksenenko;2003;SL;Corrupt Kleptocrat;High;M_RUS_nikolay_aksenenko;x 
69040;Minister of Armament;Vladimir Yakunin;2003;SL;Administrative Genius;High;M_RUS_vladimir_yakunin;x 
69041;Minister of Armament;Igor Levitin;2003;SC;Tank Proponent;High;M_RUS_igor_levitin;x 
69042;Minister of Armament;Alexey Miller;2003;FA;Laissez Faire Capitalist;High;M_RUS_alexey_miller;x 
69043;Minister of Armament;Mikhail Pogosyan;2003;LE;Air Superiority Proponent;High;M_RUS_mikhail_pogosyan;x 
69044;Minister of Armament;Anatoliy Chubais;2003;ML;Laissez Faire Capitalist;High;M_RUS_anatoliy_chubais;x 
69045;Minister of Security;Boris Gryzlov;2003;SC;Man of the People;High;M_RUS_boris_gryzlov;x 
69046;Minister of Security;Yuriy Chaika;2003;SL;Silent Lawyer;High;M_RUS_yuriy_chaika;x 
69047;Minister of Security;Vladimir Ustinov;2003;FA;Crooked Kleptocrat;High;M_RUS_vladimir_ustinov;x 
69048;Minister of Security;Nikolay Kovalev;2003;LE;Compassionate Gentleman;High;M_RUS_nikolay_kovalev;x 
69049;Minister of Security;Alexandr Chekalin;2003;NS;Prince of Terror;High;M_RUS_alexandr_chekalin;x 
69050;Minister of Security;Viktor Cherkesov;2003;PA;Back Stabber;High;M_RUS_viktor_cherkesov;x 
69051;Minister of Security;Rashid Nurgaliev;2003;LWR;Crime Fighter;High;M_RUS_rashid_nurgaliev;x 
69052;Minister of Security;Boris Nemtsov;2003;ML;Crooked Kleptocrat;High;M_RUS_boris_nemtsov;x 
69053;Head of Military Intelligence;Viacheslav Trubnikov;2003;SL;Political Specialist;High;M_RUS_viacheslav_trubnikov;x 
69054;Head of Military Intelligence;Leonid Shebarshin;2003;ST;Technical Specialist;High;M_RUS_leonid_shebarshin;x 
69055;Head of Military Intelligence;Valentin Korabelnikov;2003;PA;Logistics Specialist;High;M_RUS_valentin_korabelnikov;x 
69056;Head of Military Intelligence;Fedor Ladygin;2003;NS;Political Specialist;High;M_RUS_fedor_ladygin;x
69057;Head of Military Intelligence;Alexandr Litvinenko;2003;ML;Political Specialist;High;M_RUS_alexandr_litvinenko;x
69058;Chief of Staff;Alexey Maslov;2003;NA;School of Manoeuvre;High;M_RUS_alexey_maslov;x 
69059;Head of Government;Sergey Ivanov;2007;SC;Silent Workhorse;Very High;M_RUS_sergey_ivanov;x 
69060;Chief of Staff;Yuriy Baluyevsky;2003;NA;School of Psychology;Very High;M_RUS_yuriy_baluyevsky;x 
69061;Chief of Staff;Eduard Vorobiev;2003;NA;School of Manoeuvre;Very High;M_RUS_eduard_vorobiev;x 
69062;Chief of Staff;Vladislav Putilin;2003;NA;School of Mass Combat;Very High;M_RUS_vladislav_putilin;x 
69063;Chief of Staff;Pavel Grachev;2003;NA;School of Psychology;Very High;M_RUS_pavel_grachev;x 
