SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
75001;Head of State;Thabo Mbeki;2003;ML;Die-hard Reformer;High;M_SAF_thabo_mbeki;x
75002;Head of Government;Thabo Mbeki;2003;ML;Backroom Backstabber;High;M_SAF_thabo_mbeki;x
75003;Foreign Minister;Nkosazana Dlamini Zuma;2003;SL;Ideological Crusader;High;M_SAF_nkosazana_dlamini_zuma;x
75004;Minister of Armament;Trevor Manuel;2003;ML;Laissez-Faire Capitalist;High;M_SAF_trevor_manuel;x 
75005;Minister of Security;Brigitte Mabandla;2003;SL;Compassionate Gentleman;High;M_SAF_briggite_mabandla;x
75006;Head of Military Intelligence;Hilton Dennis;2003;SC;Logistics Specialist;High;M_SAF_hilton_dennis;x
75007;Chief of Staff;Siphiwe Nyanda;2003;SC;School of Mass Combat;High;M_SAF_sipihwe_nyanda;x
75008;Chief of Army;Gilbert Ramano;2003;SL;Guns and Butter Doctrine;High;M_SAF_gilbert_ramano;x
75009;Chief of Navy;Johan Retief;2003;ML;Base Control Doctrine;High;M_SAF_johan_retief;x
75010;Chief of Air Force;Roelf Beukes;2003;SL;Air Superiority Doctrine;High;M_SAF_roelf_beukes;x
;Replacements;;;;;;;x
