SAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x;
24001;Head of State;Francisco Flores Pérez;2003;SC;Die-hard Reformer;High;M_SAL_francisco_flores_pérez;x;
24002;Head of Government;Francisco Flores Pérez;2003;SC;Flamboyant Tough Guy;High;M_SAL_francisco_flores_pérez;x;
24003;Foreign Minister;Maria de Avila;2003;SC;Great Compromiser;High;M_SAL_maria_de_avila;x;
24004;Minister of Armament;Otto Romero Orellana;2003;SC;Military Entrepreneur;High;M_SAL_otto_romero_orellana;x;
24005;Minister of Security;René Figueroa;2003;SC;Silent Lawyer;High;M_SAL_rené_figueroa;x;
24006;Head of Military Intelligence;N/A;2003;NA;Undistinguished Suit;High;Unknown;x;
24007;Chief of Staff;N/A;2003;NA;Undistinguished Suit;High;Unknown;x;
24008;Chief of Army;N/A;2003;NA;Undistinguished Suit;High;Unknown;x;
24009;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;Unknown;x;
24010;Chief of Air Force;N/A;2003;NA;Undistinguished Suit;High;Unknown;x;
;Replacements;;;;;;;x;
24011;Head of State;Antonio Saca;2004;SC;Benevolent Gentleman;High;M_SAL_antonio_saca;x;
24012;Head of Government;Antonio Saca;2004;SC;Happy Amateur;High;M_SAL_antonio_saca;x;
24013;Foreign Minister;Francisco Lainez;2004;SC;Ideological Crusader;High;M_SAL_francisco_lainez;x;
24014;Minister of Armament;Armando Calderón Sol;2003;ML;Administrative Genius;High;M_SAL_armando_calderón_sol;x;
24015;Head of State;Schafik Handal;2003;LWR;Barking Buffoon;High;M_SAL_schafik_handal;x;*hos, dies 2006
24016;Head of Government;Schafik Handal;2003;LWR;Ambitious Union Boss;High;M_SAL_schafik_handal;x;
24017;Head of State;Mauricio Funes;2009;LWR;Benevolent Gentleman;High;M_SAL_mauricio_funes;x;*hog since 2006
24018;Head of Government;Mauricio Funes;2009;LWR;Flamboyant Tough Guy;High;M_SAL_mauricio_funes;x;
24019;Minister of Security;Joaquín Villalobos;2003;SC;Crime Fighter;High;M_SAL_joaquín_villalobos;x;*security
24020;Minister of Armament;Jorge Alberto Contreras;2003;SC;Military Entrepreneur;High;M_SAL_jorge_alberto_contreras;x;
24021;Foreign Minister;Marisol Argueta de Barillas;2006;ML;Great Compromiser;High;M_SAL_marisol_argueta_de_barillas;x;
