SAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
851901;Head of State;Chandrika Kumaratunga;2003;SL;Benevolent Gentleman;High;M_SAR_chandrika_kumaratunga;x
851902;Head of Government;Ranil Wickremasinghe;2003;ML;Silent Workhorse;High;M_SAR_ranil_wickremasinghe;x
851903;Foreign Minister;Tyronne Fernando;2003;ML;Great Compromiser;High;M_SAR_tyronne_fernando;x
851904;Minister of Armament;Chandrika Kumaratunga;2003;ML;Undistinguished suit;High;M_SAR_chandrika_kumaratunga;x
851905;Minister of Security;Ranil Wickremasinghe;2003;ML;Crime Fighter;High;M_SAR_ranil_wickremasinghe;x
851906;Head of Military Intelligence;Undistinguished suit;2003;NA;Undistinguished suit;High;Unknown;x
851907;Chief of Staff;Daya Sandagiri;2003;NA;School of Psychology;High;M_SAR_daya_sandagiri;x
851908;Chief of Army;Lionel Balagalle;2003;NA;Undistinguished suit;High;M_SAR_lionel_balagalle;x
851909;Chief of Navy;Daya Sandagiri;2003;NA;Indirect Approach Doctrine;High;M_SAR_daya_sandagiri;x
851910;Chief of Air Force;Donald Perera;2003;NA;Undistinguished suit;High;M_SAR_donald_perera;x
;Replacements;;;;;;;x
851912;Head of State;Mahinda Rajapaksa;2003;SL;Benevolent Gentleman;High;Unknown;x
851913;Head of Government;Mahinda Rajapaksa;2003;SL;Ambitious Union Boss;High;Unknown;x
851914;Head of Government;Ratnasiri Wickremanayake;2005;SL;Flamboyant Tough Guy;High;M_SAR_ratnasiri_wickremanayake;x
851915;Foreign Minister;Mangala Samaraweera;2003;SL;Biased Intellectual;High;M_SAR_mangala_samaraweera;x
851916;Foreign Minister;Rohitha Bogollagama;2007;SL;Ideological Crusader;High;M_SAR_rohitha_bogollagama;x
851917;Foreign Minister;Andura Bandaranaike;2005;SL;Apologetic Clerk;High;M_SAR_andura_bandaranaike;x
851918;Foreign Minister;Lakshman Kadirgamar;2003;SL;Great Compromiser;High;M_SAR_lakshman_kardigamar;x
851919;Chief of Army;Shantha Kottegoda;2004;NA;Decisive Battle Doctrine;High;M_SAR_shantha_kottegoda;x
851920;Chief of Navy;Wasantha Karannagoda;2003;NA;Decisive Naval Battle Doctrine;High;M_SAR_wasantha_karannagoda;x
851921;Chief of Air Force;Roshan Goonatilake;2003;NA;Naval Aviation Doctrine;High;M_SAR_roshan_goonatilake;x
851922;Chief of Staff;Donald Perera;2003;NA;School of Fire Support;High;M_SAR_donald_perera;x
851923;Minister of Armament;Gotabhaya Rajapaksa;2003;SL;Military Entrepreneur;High;M_SAR_gotabhaya_rajapaksa;x
851924;Head of State;Ranil Wickremasinghe;2003;ML;Benevolent Gentleman;High;M_SAR_ranil_wickremasinghe;x
851925;Chief of Army;Sarath Fonseka;2003;NA;Guns and Butter Doctrine;High;M_SAR_sarath_fonseka;x
851926;Chief of Staff;Sarath Fonseka;2003;NA;School of Psychology;High;M_SAR_sarath_fonseka;x
851927;Chief of Army;Parami Kulatunga;2003;NA;Elastic Defence Doctrine;High;M_SAR_parami_kulatunga;x
