SAU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
70001;Head of State;Fahd Abdul Aziz al-Saud;2003;NS;Insignificant Layman;High;M_SAU_fahd_abdul_aziz_al-saud;x
70002;Head of Government;Fahd Abdul Aziz al-Saud;2003;NS;Smiling Oilman;High;M_SAU_fahd_abdul_aziz_al-saud;x
70003;Foreign Minister;Saud al-Faysal;2003;NS;Biased Intellectual;High;M_SAU_saud_al-faysal;x
70004;Minister of Armament;Ibrahim Bin Abdul-Aziz Al-Assaf;2003;NS;Resource Industrialist;High;Unknown;x
70005;Minister of Security;Nayef bin Abdul Aziz;2003;NS;Back Stabber;High;Unknown;x
70006;Head of Military Intelligence;Nawaf Bin Abdul Aziz;2003;NS;Political Specialist;High;Unknown;x
70007;Chief of Staff;Saleh Bin Ali Al-Muhaya;2003;NS;School of Fire Support;High;Unknown;x
70008;Chief of Army;Saleh Bin Ali Al-Muhaya;2003;NS;Armoured Spearhead Doctrine;High;Unknown;x
70009;Chief of Navy;Saleh Bin Ali Al-Muhaya;2003;NS;Decisive Naval Battle Doctrine;High;Unknown;x
70010;Chief of Air Force;Abdul Aziz Bin Muhammad;2003;NS;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
70011;Head of State;Abdullah Abdul Aziz al-Saud;2003;NS;Ruthless Powermonger;High;M_SAU_abdullah_abdul_aziz_al-saud;x
70012;Head of Government;Abdullah Abdul Aziz al-Saud;2003;NS;Backroom Backstabber;High;M_SAU_abdullah_abdul_aziz_al-saud;x
