SCO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
551801;Head of State;Rafael Hipólito Domínguez;2003;ML;Benevolent Gentleman;High;M_SCO_rafael_hipólito_domínguez;x
551802;Head of Government;Rafael Hipólito Domínguez;2003;ML;Silent Workhorse;High;M_SCO_rafael_hipólito_domínguez;x
551803;Minister of Armament;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551804;Foreign Minister;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551805;Chief of Navy;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551806;Chief of Army;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551807;Chief of Air Force;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551808;Head of Military Intelligence;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551809;Chief of Staff;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551810;Minister of Security;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
551811;Head of State;Leonel Fernández Reyna;2003;ML;Benevolent Gentleman;High;M_SCO_leonel_fernández_reyna;x
551812;Head of Government;Leonel Fernández Reyna;2003;ML;Silent Workhorse;High;M_SCO_leonel_fernández_reyna;x
