SER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x;
71001;Head of State;Natasa Micic;2003;SL;Popular Figurehead;high;M_SER_natasa_micic;x;
71002;Head of Government;Zoran Zivkovic;2003;SL;Naive Optimist;high;M_SER_zoran_zivkovic;x;
71003;Foreign Minister;Goran Svilanovic;2003;SL;Biased Intellectual;high;M_SER_goran_svilanovic;x;
71004;Minister of Armament;Boris Tadic;2003;SL;Laissez Faires Capitalist;high;M_SER_boris_tadic;x;
71005;Minister of Security;Dusan Mihajlovic;2003;SL;Crooked Kleptocrat;high;M_SER_dusan_mihajlovic;x;
71006;Head of Military Intelligence;Misa Milicevic;2003;SL;Political Specialist;high;Unknown;x;
71007;Chief of Staff;Dragan Paskas;2003;NA;School of Manoeuvre;high;M_SER_dragan_paskas;x;
71008;Chief of Army;Vladimir Lazarevic;2003;NA;Armoured Spearhead Doctrine;high;M_SER_vladimir_lazarevic;x;
71009;Chief of Navy;Mihajlo Zarkovic;2003;NA;Decisive Naval Battle Doctrine;high;M_SER_mihajlo_zarkovic;x;
71010;Chief of Air Force;Branislav Petrovic;2003;NA;Air Superiority Doctrine;high;Unknown;x;
;Replacements;;;;;;;;
71011;Head of Government;Vojislav Kostunica;2003;SC;Backroom Backstabber;high;M_SER_vojislav_kostunica;x;
71012;Foreign Minister;Vuk Draskovic;2003;SC;Biased Intellectual;high;M_SER_vuk_draskovic;x;
71013;Minister of Security;Zoran Stankovic;2003;ML;Compassionate Gentleman;high;M_SER_zoran_stankovic;x;
71014;Chief of Staff;Mladen Cirkovic;2007;NA;School of Manoeuvre;high;M_SER_mladen_cirkovic;x;
71015;Chief of Air Force;Dragan Katanic;2006;NA;Air Superiority Doctrine;high;M_SER_dragan_katanic;x;
71016;Head of Government;Mirko Cvetkovic;2008;SL;Silent Workhorse;high;M_SER_mirko_cvetkovic;x;
71017;Foreign Minister;Vuk Jeremic;2007;SL;Great Compromiser;high;M_SER_vuk_jeremic;x;
71018;Minister of Security;Dragan Sutanovac;2003;SL;Compassionate Gentleman;high;M_SER_dragan_sutanovac;x;
71019;Head of State;Tomislav Nikolic;2003;PA;Autocratic Charmer;high;M_SER_tomislav_nikolic;x;
71020;Head of Military Intelligence;Danica Draskovic;2003;SL;Political Specialist;high;M_SER_danica_draskovic;x;
71021;Head of State;Aleksandar II;2003;SC;Stern Imperialist;high;M_SER_aleksandar_ii;x;
71022;Head of State;Aleksandar II;2003;SL;Stern Imperialist;high;M_SER_aleksandar_ii;x;
71023;Head of Government;Vuk Draskovic ;2003;SC;Ambitious Union Boss;high;M_SER_vuk_draskovic;x;
71024;Foreign Minister;Velimir Ilic;2003;SC;Iron Fisted Brute;high;M_SER_velimir_ilic;x;
71025;Minister of Security;Vojslav Mihailovic;2003;SC;Crime Fighter;high;M_SER_vojslav_mihailovic;x;
71026;Minister of Armament;Zoran Andjelkovic;2003;SD;Corrupt Kleptocrat;high;M_SER_zoran_andjelkovic;x;
71027;Minister of Security;Ivica Dacic;2008;SD;Back Stabber;high;M_SER_ivica_dacic;x;
71028;Head of Government;Tomislav Nikolic;2003;PA;Backroom Backstabber;high;M_SER_tomislav_nikolic;x;
71029;Minister of Security;Aleksandar Vucic;2003;PA;Prince of Terror;high;M_SER_aleksander_vucic;x;
71030;Head of Military Intelligence;Aleksandar Vucic;2003;PA;Political Specialist;high;M_SER_aleksander_vucic;x;
71031;Minister of Security;Gordana-Pop Lazic;2003;FA;Silent Lawyer;high;M_SER_gordana-pop_lazic;x;
71032;Minister of Security;Dragan Jocic;2003;ML;Efficient Sociopath;high;M_SER_dragan_jocic;x;
71033;Minister of Armament;Prvoslav Davinic;2003;SL;Infantry Proponent;high;M_SER_prvoslav_davinic;x;
71034;Chief of Staff;Ljubisa Jokic;2005;NA;School of Fire Support;high;M_SER_ljubisa_jokic;x;
71035;Chief of Army;Ljubisa Jokic;2003;NA;Guns and Butter Doctrine;high;M_SER_ljubisa_jokic;x;
71036;Minister of Armament;Dragan Sutanovac;2007;SL;Corrupt Kleptocrat;high;M_SER_dragan_sutanovac;x;
71037;Chief of Army;Mladen Cirkovic;2003;NA;Armoured Spearhead Doctrine;high;M_SER_mladen_cirkovic;x;
71038;Chief of Staff;Zdravko Ponos;2006;ML;School of Psychology;high;M_SER_zdravko_ponos;x;
71039;Chief of Army;Zdravko Ponos;2005;ML;Guns and Butter Doctrine;high;M_SER_zdravko_ponos;x;
71040;Chief of Army;Miloje Miletic;2005;NA;Decisive Battle Doctrine;high;M_SER_miloje_miletic;x;
71041;Chief of Staff;Miloje Miletic;2007;NA;School of Fire Support;high;M_SER_miloje_miletic;x;
71042;Chief of Staff;Ljubisa Dikovic;2012;NA;School of Psychology;high;M_SER_ljubisa_dikovic;x;
71043;Head of Military Intelligence;Rade Bulatovic;2003;ML;Political Specialist;high;M_SER_rade_bulatovic;x;
71044;Minister of Security;Zoran Alimpic;2010;SL;Crime Fighter;high;M_SER_zoran_alimpic;x;
71045;Minister of Security;Vladan Batic;2003;ML;Silent Lawyer;high;M_SER_vladan_batic;x;
