SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
82001;Head of State;Bhumibol Adulyadej;2003;SC;Popular Figurehead;High;M_SIA_bhumibol_adulyadej;x
82002;Head of Government;Thaksin Shinawatra;2003;SL;Corporate Suit;High;M_SIA_thaksin_shinawatra;x
82003;Foreign Minister;Surakiart Sathirathai;2003;SL;Biased Intellectual;High;M_SIA_surakiart_sathirathai;x
82004;Minister of Armament;Surchat Jaovisidha;2003;SL;Infantry Proponent;High;M_SIA_surchat_jaovisidha;x
82005;Minister of Security;Pongthep Thepkanjana;2003;SL;Crime Fighter;High;M_SIA_pongthep_thepkanjana;x
82006;Head of Military Intelligence;Anu Sumitra;2003;SC;Logistics Specialist;High;Unknown;x
82007;Chief of Staff;Surayud Chulanont;2003;SC;School of Fire Support;High;M_SIA_surayud_chulanont;x
82008;Chief of Army;Chaisit Shinawatra;2003;SC;Decisive Battle Doctrine;High;M_SIA_chaisit_shinawatra;x
82009;Chief of Navy;Daweesak Somabha;2003;SD;Indirect Approach Doctrine;High;M_SIA_daweesak_somabha;x
82010;Chief of Air Force;Kongsak Vantana;2003;SC;Army Aviation Doctrine;High;M_SIA_kongsak_vantana;x
