SIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
70501;Head of State;Abdoulaye Wade;2003;SL;Ruthless Powermonger;High;M_SIB_abdoulaye_wade;x
70502;Head of Government;Idrissa Seck;2003;SL;Flamboyant Tough Guy;High;M_SIB_idrissa_seck;x
70503;Foreign Minister;Cheikh Gadio;2003;SL;Apologetic Clerk;High;M_SIB_cheikh_gadio;x
70504;Minister of Armament;Becaye Diop;2003;SL;Infantry Proponent;High;M_SIB_becaye_diop;x
70505;Minister of Security;Madicke Niang;2003;SL;Crime Fighter;High;M_SIB_madicke_niang;x
70506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
70507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
70508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
70509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
70510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
