SIE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
72001;Head of State;Ahmed Tejan Kabbah;1003;ML;Die-hard Reformer;High;M_SIE_ahmed_tejan_kabbah;x
72002;Head of Government;Ahmed Tejan Kabbah;1003;ML;Silent Workhorse;High;M_SIE_ahmed_tejan_kabbah;x
72003;Foreign Minister;Momodu Koroma;1003;ML;Biased Intellectual;High;M_SIE_momudu_koroma;x
72004;Minister of Armament;Alfred Konteh;1003;ML;Military Entrepreneur;High;M_SIE_alfred_konteh;x
72005;Minister of Security;Abdul Serry-Kamal;1003;ML;Silent Lawyer;High;M_SIE_adbul_serry-kamal;x
72006;Head of Military Intelligence;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
72007;Chief of Staff;Alfred Nelson-Williams;1003;NA;School of Psychology;High;M_SIE_alfred_nelson-williams;x
72008;Chief of Army;Alfred Nelson-Williams;1003;NA;Armoured Spearhead Doctrine;High;M_SIE_alfred_nelson-williams;x
72009;Chief of Air Force;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
72010;Chief of Navy;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
72011;Head of State;Ernest Koroma;1003;SD;Die-hard Reformer;High;M_SIE_ernest_koroma;x
72012;Head of Government;Ernest Koroma;1003;SD;Ambitious Union Boss;High;M_SIE_ernest_koroma;x
72013;Head of State;Solomon Berewa;1007;ML;Benevolent Gentleman;High;M_SIE_solomon_berewa;x
72014;Head of Government;Solomon Berewa;1007;ML;Political Protege;High;M_SIE_solomon_berewa;x
72015;Foreign Minister;Zainab Bangura;1003;SD;Great Compromiser;High;M_SIE_zainab_bangura;x
72016;Minister of Security;Dauda Camara;1003;SD;Compassionate Gentleman;High;Unknown;x
