SIK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
72501;Head of State;Sellapan Ramanathan;2003;PA;Insignificant Layman;High;M_SIK_sellapan_ramanathan;x
72502;Head of Government;Goh Chok Tong;2003;PA;Corporate Suit;High;M_SIK_goh_chok_tong;x
72503;Foreign Minister;Shanmugam Jayakumar;2003;PA;Biased Intellectual;High;M_SIK_shanmugam_jayakumar;x
72504;Minister of Armament;Ng Eng Hen;2003;PA;Administrative Genius;High;M_SIK_ng_eng_hen;x
72505;Minister of Security;Wong Kan Seng;2003;PA;Man of the People;High;M_SIK_wong_kan_seng;x
72506;Head of Military Intelligence;Lee Boon Yang;2003;PA;Technical Specialist;High;M_SIK_lee_boon_yang;x
72507;Chief of Staff;Tony Tan;2003;PA;School of Defence;High;M_SIK_tony_tan;x
72508;Chief of Army;George Yeo;2003;PA;Static Defence Doctrine;High;M_SIK_george_yeo;x
72509;Chief of Navy;Lui Tuck Yew;2003;PA;Open Seas Doctrine;High;M_SIK_lui_tuck_yew;x
72510;Chief of Air Force;Lim Kim Choon;2003;PA;Air Superiority Doctrine;High;M_SIK_lim_kim_choon;x
;Replacements;;;;;;;x
