SLO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
73000;Head of State;Rudolph Schuster;2003;SL;Insignificant Layman;High;M_SLO_rudolph_schuster;x
73001;Head of Government;Mikuláš Dzurinda;2003;ML;Silent Workhorse;High;M_SLO_mikuláš_dzurinda;x
73002;Foreign Minister;Eduard Kukan;2003;ML;Great Compromiser;High;M_SLO_eduard_kukan;x
73003;Minister of Armament;Ivan Milkoš;2003;ML;Laissez Faires Capitalist;High;M_SLO_ivan_milkoš;x
73004;Minister of Security;Daniel Lipšic;2003;ML;Silent Lawyer;High;M_SLO_daniel_lipšic;x
73005;Head of Military Intelligence;Jan Mojzis;2003;SC;Dismal Enigma;High;Unknown;x
73006;Chief of Staff;Milan Cerovský;2003;SC;School of Psychology;High;M_SLO_milan_cerovský;x
73007;Chief of Army;Milan Cerovský;2003;SC;Guns and Butter Doctrine;High;M_SLO_milan_cerovský;x
73008;Chief of Air Force;Jozef Dunjaj;2003;SC;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
73009;Head of State;Ivan Gašparovic;2003;ML;Insignificant Layman;High;M_SLO_ivan_gašparovic;x
73010;Head of State;Vladimír Meciar;2003;PA;Powerhungry Demagogue;High;M_SLO_vladimír_meciar;x
73011;Head of State;Eduard Kukan;2003;ML;Benevolent Gentleman;High;M_SLO_eduard_kukan;x
73012;Head of State;Ján Králik;2003;SD;Pig-headed Isolationist;High;M_SLO_ján_králik;x
73013;Head of State;Ján Slota;2003;SC;Stern Imperialist;High;M_SLO_ján_slota;x
73014;Head of Government;Vladimír Meciar;2003;PA;Backroom Backstabber;High;M_SLO_vladimír_meciar;x
73015;Head of Government;Jozef Ševc;2003;LWR;Ambitious Union Boss;High;M_SLO_jozef_ševc;x
73016;Head of Government;Robert Fico;2003;SD;Naive Optimist;High;M_SLO_robert_fico;x
73017;Head of Government;Pavol Rusko;2003;SL;Corporate Suit;High;M_SLO_pavol_rusko;x
73018;Head of Government;Anna Malíková;2003;SC;Political Protege;High;M_SLO_anna_malíková;x
73019;Foreign Minister;Monika Benová;2003;SD;Ideological Crusader;High;M_SLO_monika_benová;x
73020;Foreign Minister;Dušan Švantner;2003;SC;Iron Fisted Brute;High;M_SLO_dušan_švantner;x
73021;Minister of Armament;Dušan Caplovic;2003;SD;Administrative Genius;High;M_SLO_dušan_caplovic;x
73022;Minister of Armament;Pavol Rusko;2003;SL;Laissez Faires Capitalist;High;M_SLO_pavol_rusko;x
73023;Minister of Armament;Juraj Liska;2003;ML;Infantry Proponent;High;M_SLO_juraj_liska;x
73024;Minister of Security;Pavol Paška;2003;SD;Man of the People;High;M_SLO_pavol_paška;x
73025;Minister of Security;Jan Mojzis;2003;SC;Back Stabber;High;Unknown;x
73026;Head of Military Intelligence;Vladimir Palko;2003;ML;Political Specialist;High;M_SLO_vladimir_palko;x
73027;Chief of Staff;Lubomír Bulík;2003;ML;School of Defence;High;M_SLO_lubomír_bulík;x
73028;Chief of Army;Lubomír Bulík;2003;ML;Elastic Defense Doctrine;High;M_SLO_lubomír_bulík;x
