SLV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
73501;Head of State;Janez Drnovsek;2003;SL;Insignificant Layman;High;M_SLV_janez_drnovsek;x
73502;Head of Government;Tone Rop;2003;SL;Silent Workhorse;High;M_SLV_tone_rop;x
73503;Foreign Minister;Ivo Vajgl;2003;SL;Ideological Crusader;High;M_SLV_ivo_vajgl;x
73504;Minister of Armament;Rado Bohinjc;2003;SL;Administrative Genius;High;M_SLV_rado_bohinjc;x
73505;Minister of Security;Anton Grizold;2003;SL;Silent Lawyer;High;M_SLV_anton_grizold;x
73506;Head of Military Intelligence;Iztok Podbregar;2003;SL;Logistics Specialist;High;M_SLV_iztok_podbregar;x
73507;Chief of Staff;Ladislav Lipic;2003;SL;School of Defence;High;M_SLV_ladislav_lipic;x
73508;Chief of Army;Janez Drnovsek;2003;SL;Elastic Defence Doctrine;High;M_SLV_janez_drnovsek;x
73509;Chief of Navy;Renato Petric;2003;SL;Open Seas Doctrine;High;M_SLV_renato_petric;x
73510;Chief of Air Force;Jozef Zunkovic;2003;SL;Air Superiority Doctrine;High;M_SLV_jozef_zunkovic;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
73511;Head of Government;Janez Jansa;2003;PA;Backroom Backstabber;High;M_SLV_janez_jansa;x
73512;Foreign Minister;Dimitrij Rupel;2003;PA;Great Compromiser;High;M_SLV_dimitrij_rupel;x
73513;Minister of Armament;Dragotin Mate;2003;PA;Resource Industrialist;High;M_SLV_dragotin_mate;x
73514;Minister of Security;Karl Viktor Erjavec;2003;PA;Man of the People;High;M_SLV_karl_viktor_erjavec;x
73515;Head of Government;Borut Pahor;2003;SD;Backroom Backstabber;High;M_SLV_borut_pahor;x
73516;Foreign Minister;Samo Bevk;2003;SD;Apologetic Clerk;High;M_SLV_samo_bevk;x
73517;Minister of Armament;Miran Potrc;2003;SD;Military Entrepreneur;High;M_SLV_miran_potrc;x
73518;Minister of Security;Aurelio Juri;2003;SD;Compassionate Gentleman;High;M_SLV_aurelio_huri;x
73519;Head of Military Intelligence;Dusan Kumer;2003;SD;Political Specialist;High;M_SLV_dusan_kumer;x
73520;Head of Government;Andrej Bajuk;2003;FA;Political Protege;High;M_SLV_andrej_bajuk;x
73521;Foreign Minister;Lojze Peterle ;2003;SC;The Cloak N Dagger Schemer;High;M_SLV_lojze_peterle;x
73522;Minister of Armament;Janez Drobnic;2003;FA;Laissez Faires Capitalist;High;M_SLV_janez_drobnic;x
73523;Minister of Security;Lovro Sturm;2003;ML;Crime Fighter;High;M_SLV_lovro_sturm;x
73524;Head of Government;Janez Podobnik;2003;SC;Naive Optimist;High;M_SLV_janez_podobnik;x
73525;Foreign Minister;Stanislav Brencic;2003;SC;General Staffer;High;M_SLV_stanislav_brencic;x
73526;Minister of Armament;Franc Kangler;2003;SC;Infantry Proponent;High;M_SLV_franc_kangler;x
73527;Minister of Security;Josip Bajc;2003;SL;Silent Lawyer;High;M_SLV_josip_bajc;x
73528;Head of Military Intelligence;Franc Kangler;2003;SL;Industrial Specialist;High;M_SLV_franc_kangler;x
73529;Head of Government;Zmago Jelincic Plemeniti;2003;FA;Flamboyant Tough Guy;High;M_SLV_zmago_jelincic_plementi;x
73530;Foreign Minister;Barbara Zgajner Tavs;2003;FA;Iron Fisted Brute;High;M_SLV_barbara_zgajner_tavs;x
73531;Minister of Armament;Bogdan Barovic;2003;ML;Infantry Proponent;High;M_SLV_bogdan_barovic;x
73532;Minister of Security;Saso Pece;2003;FA;Efficient Sociopath;High;M_SLV_saso_pece;x
73533;Head of Government;Karl Viktor Erjavec;2003;PA;Old General;High;M_SLV_karl_viktor_erjavec;x
73534;Foreign Minister;Franc Znidarsic;2003;LWR;Biased Intellectual;High;M_SLV_franc_znidarsic;x
73535;Minister of Armament;Vili Rezman;2003;SD;Theoretical Scientist;High;M_SLV_vili_rezman;x
73536;Minister of Security;Ivan Jelen;2003;SD;Man of the People;High;M_SLV_ivan_jelen;x
73537;Head of State;Barbara Brezigar;2003;PA;Weary Stiffneck;High;M_SLV_barbara_brezigar;x
73538;Head of State;France Arhar;2003;SC;Benevolent Gentleman;High;M_SLV_france_arhar;x
73539;Head of State;France Bucar;2003;SL;Stern Imperialist;High;M_SLV_france_bucar;x
73540;Head of State;Anton Bebler;2003;SL;Benevolent Gentleman;High;M_SLV_anton_bebler;x
73541;Head of State;Jure Cekuta;2003;SD;Benevolent Gentleman;High;M_SLV_jure_cekuta;x
73542;Head of State;Gorazd Drevensek;2003;SL;Benevolent Gentleman;High;M_SLV_goarazd_drevensek;x
73543;Head of State;Lev Kreft;2003;SD;Benevolent Gentleman;High;M_SLV_lev_kreft;x
73544;Head of Military Intelligence;Matjaz Sinkovec;2003;PA;Political Specialist;High;M_SLV_matjaz_sinkovec;x
73545;Head of Military Intelligence;Andrej Rupnik;2003;PA;Political Specialist;High;M_SLV_andrej_rupnik;x
73546;Chief of Staff;Albin Gutman;2003;SC;School of Defence;High;M_SLV_albin_gutman;x
73547;Head of State;Danilo Turk;2003;SD;Die-hard Reformer;High;M_SLV_danilo_turk;x
73548;Head of State;Lojze Petrle;2003;SC;Benevolent Gentleman;High;M_SLV_lojze_peterle;x
