SOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1033000;Head of State;Abdullahi Yusuf;2003;NS;Powerhungry Demagogue;Very High;M_SOM_abdullahi_yusuf;x
1033001;Head of Government;Ali Mohamed Ghedi;2003;NS;Silent Workhorse;Medium;M_SOM_ali_mohamed_ghedi;x
1033002;Foreign Minister;Ismael Bubba;2003;NS;Iron Fisted Brute;High;M_SOM_ismael_bubba;x
1033003;Minister of Armament;Barre Adan Hirrale;2003;NS;Resource Industrialist;Medium;M_SOM_barre_adan_hirrale;x
1033004;Minister of Security;Mohamoud Gacmodhere;2003;NS;Prince of Terror;Medium;M_SOM_mohamoud_gacmodhere;x
1033005;Head of Military Intelligence;Hussein Aideed;2003;NS;Logistics Specialist;High;M_SOM_hussein_aideed;x
1033006;Chief of Staff;Hassan Shatigadud;2003;NS;School of Mass Combat;Medium;M_SOM_hassan_shatigadud;x
1033007;Chief of Army;Ismail Qassim Naji;2003;NS;Elastic Defence Doctrine;Medium;M_SOM_ismail_qassim_naji;x
1033008;Chief of Navy;Admiral Osman;2003;NS;Indirect Approach Doctrine;High;M_SOM_admiral_osman;x
1033009;Chief of Air Force;Khallid Jama;2003;NS;Army Aviation Doctrine;High;M_SOM_khallid_jama;x
;Replacements;;;;;;;x
1033010;Head of State;Abdiqaasim Salad Hassan;2003;NS;Benevolent Gentleman;Medium;M_SOM_abdiqaasim_salad_hassan;x
1033011;Head of State;Hassan Aweys;2003;ML;Powerhungry Demagogue;Low;M_SOM_hassan_aweys;x
1033012;Head of Government;Nur Adde;2003;NS;Smiling Oilman;Medium;M_SOM_nur_adde;x
1033014;Foreign Minister;Sharif Sheikh Ahmed;2003;ML;Biased Intellectual;Very High;M_SOM_sharif_sheikh_ahmed;x
1033015;Foreign Minister;Yusuf Inda'ade;2003;ML;Ideological Crusader;Low;M_SOM_yusuf_inda'ade;x
1033016;Minister of Armament;Hassan Al-Turki;2003;ML;Military Entrepreneur;High;M_SOM_hassan_al-turki;x
1033017;Minister of Armament;Abu Mansur;2003;ML;Military Entrepreneur;Medium;M_SOM_abu_mansur;x
1033018;Minister of Security;Hassan Abshir Farah;2003;ML;Prince of Terror;Medium;M_SOM_hassan_abshir_farah;x
1033019;Minister of Security;Sheikh Adan Mohamed Nur;2003;NS;Man of the People;Medium;M_SOM_sheikh_adan_mohamed_nur;x
1033020;Head of Military Intelligence;Abdulkadir Arale;2003;ML;Dismal Enigma;High;Unknown;x
1033021;Head of Military Intelligence;Muhammed Habsade;2003;NS;Industrial Specialist;Medium;Unknown;x
1033022;Chief of Staff;Abdullahi Afrah;2003;NS;School of Fire Support;Medium;Unknown;x
1033023;Chief of Staff;Abdullahi Sheikh;2003;ML;School of Manoeuvre;High;Unknown;x
1033024;Chief of Army;Salad Jelle;2003;NS;Elastic Defence Doctrine;Medium;Unknown;x
1033025;Chief of Army;Mohammed Botan;2003;ML;Guns and Butter Doctrine;High;Unknown;x
1033026;Chief of Navy;Salim Ibrow;2003;NS;Open Seas Doctrine;High;Unknown;x
1033027;Chief of Navy;Mukhtar Robow;2003;NS;Indirect Approach Doctrine;High;Unknown;x
1033028;Chief of Air Force;Ibrahim Addow;2003;NS;Air Superiority Doctrine;Low;Unknown;x
1033029;Chief of Air Force;Fuad Qalaf;2003;NS;Army Aviation Doctrine;Very High;Unknown;x
