SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
76000;Head of State;Juan Carlos I;2003;PA;Benevolent Gentleman;Very High;M_SPA_juan_carlos_i;x
76001;Head of Government;Jose Maria Aznar;2003;SC;Silent Workhorse;High;M_SPA_jose_maria_aznar;x
76002;Foreign Minister;Pilar del Castillo;2003;SC;General Staffer;High;M_SPA_pilar_del_castillo;x
76003;Minister of Armament;Federico Trillo;2003;SC;Military Entrepreneur;High;M_SPA_federico_trillo;x
76004;Minister of Security;Javier Arenas;2003;SC;Man of the People;High;M_SPA_javier_arenas;x
76005;Head of Military Intelligence;Alberto Saiz Cortés;2003;SC;Industrial Specialist;High;M_SPA_alberto_saiz_cortés;x
76006;Chief of Staff;Félix Sanz Roldán;2003;SC;School of Fire Support;High;M_SPA_félix_sanz_roldán;x
76007;Chief of Army;Jose Antonio Garcia Gonzalez;2003;SC;Guns and Butter Doctrine;High;M_SPA_jose_antonio_garcia_gonzalez;x
76008;Chief of Navy;Sebastián Zaragoza Soto;2003;SC;Indirect Approach Doctrine;High;M_SPA_sebastián_zaragoza_soto;x
76009;Chief of Air Force;Francisco José García de la Vega;2003;SC;Naval Aviation Doctrine;High;M_SPA_francisco_josé_garcía_de_la_vega;x
;Replacements;;;;;;;x
76011;Foreign Minister;Loyola de Palacio;2003;SC;Iron Fisted Brute;High;M_SPA_loyola_de_palacio;x
76012;Foreign Minister;Ana Pastor Julián;2003;ML;General Staffer;High;M_SPA_ana_pastor_julián;x
76013;Minister of Armament;Ignacio Astarloa;2003;SL;Military Entrepreneur;High;M_SPA_ignacio_astarloa;x
76014;Minister of Security;Tomás Zambrana Pineda;2003;ML;Crime Fighter;High;M_SPA_tomás_zambrana_pineda;x
76015;Minister of Security;Francisco Pardo Piqueras;2003;ML;Compassionate Gentleman;High;M_SPA_francisco_pardo_piqueras;x
76016;Minister of Security;Ángel Acebes;2003;ML;Crime Fighter;High;M_SPA_ángel_acebes;x
76017;Head of Military Intelligence;Francisco Torrente;2003;ML;Industrial Specialist;High;M_SPA_francisco_torrente;x
76018;Head of Government;José Luis Rodriguez Zapatero;2004;SL;Flamboyant Tough Guy;High;M_SPA_josé_luis_rodriguez_zapatero;x
76019;Foreign Minister;Miguel Ángel Moratinos;2004;SL;Biased Intellectual;High;M_SPA_miguel_ángel_moratinos;x
76020;Minister of Security;José Bono;2004;SL;Prince of Terror;High;M_SPA_josé_bono;x
76021;Chief of Staff;Pedro Solbes;2004;ML;School of Defence;High;M_SPA_pedro_solbes;x
76022;Head of Government;Mariano Rajoy;2003;SC;Silent Workhorse;High;M_SPA_mariano_rajoy;x
76023;Minister of Security;José Antonio Alonso;2004;SL;Man of the People;High;M_SPA_josé_antonio_alonso;x
