SPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
78001;Head of State;Ronald Venetiaan;2003;ML;Autocratic Charmer;High;M_SPR_ronald_venetiaan;x
78002;Head of Government;Ronald Venetiaan;2003;ML;Political Protege;High;M_SPR_ronald_venetiaan;x
78003;Foreign Minister;Lygia Kraag-Keteldijk;2003;ML;Great Compromiser;High;M_SPR_lygia_kraag-keteldijk;x
78004;Minister of Armament;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
78005;Minister of Security;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
78006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
78007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
78008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
78009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
78010;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
