SUD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
77501;Head of State;Omar al-Bashir;2003;FA;Powerhungry Demagogue;High;M_SUD_omar_al-bashir;x
77502;Head of Government;Omar al-Bashir;2003;FA;Backroom Backstabber;High;M_SUD_omar_al-bashir;x
77503;Foreign Minister;Deng Alor Kuol;2003;FA;Iron-fisted Brute;High;M_SUD_deng_alor_kuol;x
77504;Minister of Armament;Abdel Rahim Hussein;2003;FA;Tank Proponent;High;M_SUD_abdel_rahim_hussein;x
77505;Minister of Security;Salva Kiir Mayardit;2003;FA;Prince of Terror;High;M_SUD_salva_kiir_mayardit;x
77506;Head of Military Intelligence;Bakri Hassan Saleh;2003;NA;Dismal Enigma;High;M_SUD_bakri_hassan_saleh;x
77507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
77508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
77509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
77510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
