SWE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79001;Head of State;Carl XVI Gustaf;2003;SL;Popular Figurehead;High;M_SWE_carl_xvi_gustaf;x 
79002;Head of Government;Göran Persson;2003;SL;Apologetic Clerk;High;M_SWE_göran_persson;x 
79003;Foreign Minister;Anna Lindh;2003;SL;Ideological Crusader;High;M_SWE_anna_lindh;x 
79004;Minister of Armament;Leni Björklund;2003;SL;Laissez Faires Capitalist;High;M_SWE_leni_björklund;x 
79005;Minister of Security;Thomas Bodström;2003;SL;Man of the People;High;M_SWE_thomas_bodström;x 
79006;Head of Military Intelligence;Jan Danielsson;2003;SL;Technical Specialist;High;M_SWE_jan_danielsson;x 
79007;Chief of Staff;Johan Hederstedt;2003;SL;School of Defence;High;M_SWE_johan_hederstedt;x 
79008;Chief of Army;Alf Sandqvist;2003;SL;Guns and Butter Doctrine;High;M_SWE_alf_sandqvist;x 
79009;Chief of Navy;Jörgen Ericsson;2003;SL;Indirect Approach Doctrine;High;Unknown;x 
79010;Chief of Air Force;Jan Andersson;2003;SL;Army Aviation Doctrine;High;Unknown;x 
;Replacements;;;;;;;x
79011;Head of State;Victoria;2003;SL;Popular Figurehead;High;M_SWE_victoria;x
79012;Head of Government;Fredrik Reinfeldt;2006;SC;Corporate Suit;High;M_SWE_fredrik_reinfeldt;x
79013;Head of Government;Mona Sahlin;2006;SL;Ideological Crusader;High;M_SWE_mona_sahlin;x
79014;Foreign Minister;Carl Bildt;2006;SC;Great Compromiser;High;M_SWE_carl_bildt;x
79015;Foreign Minister;Laila Freivalds;2003;SL;General Staffer;High;Unknown;x
79016;Minister of Armament;Mikael Odenberg;2006;SC;Infantry Proponent;High;Unknown;x
79017;Minister of Armament;Sten Telgfors;2007;SC;Military Entrepreneur;High;Unknown;x
79018;Minister of Security;Beatrice Ask;2006;SC;Crime Fighter;High;Unknown;X
79019;Head of Military Intelligence;Klas Bergenstrand;2003;SL;Logistics Specialist;High;Unknown;x
79020;Head of Military Intelligence;Anders Danielsson;2007;SC;Technical Specialist;High;Unknown;x
79021;Chief of Staff;Håkan Syrén;2004;SL;School of Defence;High;Unknown;x
79022;Chief of Staff;Sverker Göranson;2009;SL;School of Psychology;High;Unknown;x
79023;Chief of Army;Sverker Göranson;2005;SL;School of Defence;High;Unknown;x
79024;Chief of Army;Berndt Grundevik;2007;SC;School of Manoeuvre;High;Unknown;x
79025;Chief of Navy;Anders Grenstad;2005;SL;Open Seas Doctrine;High;Unknown;x
79026;Chief of Air Force;Anders Silwer;2008;SC;Air Superiority Doctrine;High;Unknown;x
