SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
80001;Head of State;Bashar al-Assad;2003;FA;Ruthless Powermonger;High;M_SYR_bashar_al-assad;x
80002;Head of Government;Muhammad Mustafa Mero;2003;FA;Naive Optimist;High;M_SYR_muhammad_mustafa_mero;x
80003;Foreign Minister;Farouk al-Sharaa;2003;FA;Iron Fisted Brute;High;M_SYR_farouk_al-sharaa;x
80004;Minister of Armament;Mustafa Tlas;2003;FA;Military Entrepreneur;High;M_SYR_mustafa_tlas;x
80005;Minister of Security;Bahjat Suleiman;2003;FA;Back Stabber;High;Unknown;x
80006;Head of Military Intelligence;Hasan Khalil;2003;FA;Political Specialist;High;M_SYR_hasan_khalil;x
80007;Chief of Staff;Hasan Turkmani;2003;FA;School of Psychology;High;M_SYR_hasan_turkmani;x
80008;Chief of Army;Ali Habib;2003;FA;Decisive Battle Doctrine;High;M_SYR_ali_habib;x
80009;Chief of Navy;Bassam Abu Asam;2003;FA;Open Seas Doctrine;High;Unknown;x
80010;Chief of Air Force;Unknown;2003;FA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
80011;Head of Government;Muhammad Naji al-Otari;2003;FA;Insignificant Layman;High;M_SYR_muhammad_naji_al-otari;x
80012;Minister of Security;Ghazi Kanaan;2003;FA;Prince of Terror;High;M_SYR_ghazi_kanaan;x
80013;Head of Military Intelligence;Asef Shawkat;2005;FA;Dismal Enigma;High;M_SYR_asef_shawkat;x
80014;Head of Military Intelligence;Ghazi Kanaan;2003;FA;Logistics Specialist;High;M_SYR_ghazi_kanaan;x
80015;Chief of Staff;Ali Habib;2003;FA;School of Fire Support;High;M_SYR_ali_habib;x
80016;Foreign Minister;Walid Muallem;2006;FA;Ideological Crusader;High;M_SYR_walid_muallem;x
80017;Minister of Security;Bassam Abdel Majeed;2005;FA;Efficient Sociopath;High;M_SYR_bassam_abdel_majeed;x
80018;Minister of Armament;Hasan Turkmani;2003;FA;Tank Proponent;High;M_SYR_hasan_turkmani;x
80019;Head of Government;Abdullah Dardari;2003;FA;Silent Workhorse;High;M_SYR_abdullah_dardari;x
80020;Head of Government;Farid Ghadry;2003;ML;Ambitious Union Boss;High;M_SYR_farid_ghadry;x
