TAJ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
81001;Head of State;Emomali Rakhmonov;1003;PA;Powerhungry Demagogue;High;M_TAJ_enomali_rakhmonov;x
81002;Head of Government;Oqil Oqilov;1003;PA;Flamboyant Tough Guy;High;M_TAJ_ogil_ogilov;x
81003;Foreign Minister;Talbak Nazarov;1003;PA;Iron Fisted Brute;High;M_TAJ_talbak_nazarov;x
81004;Minister of Armament;Sherali Khayrulloyev;1003;PA;Corrupt Kleptocrat;High;M_TAJ_sherali_khayrulloyev;x
81005;Minister of Security;Khayriddin Abdurahimov;1003;PA;Prince of Terror;High;Unknown;x
81006;Head of Military Intelligence;Khayriddin Abdurahimov;1003;PA;Dismal Enigma;High;Unknown;x
81007;Chief of Staff;Ramil Nadyrov;1003;PA;School of Psychology;High;M_TAJ_ramil_nadyrov;x
81008;Chief of Army;Ramil Nadyrov;1003;PA;Static Defence Doctrine;High;M_TAJ_ramil_nadyrov;x
81009;Chief of Navy;Unknown;1003;PA;Indirect Approach Doctrine;High;Unknown;x
81010;Chief of Air Force;Unknown;1003;PA;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
81011;Head of State;Said Abdullo Nuri;1003;SD;Popular Figurehead;High;M_TAJ_said_abdullo_nuri;x
81012;Head of Government;Shamsiddin Shamsiddinov;1003;SD;Naive Optimist;High;Unknown;x
81013;Minister of Security;Mirzo Ziyoyev;1003;SD;Crime Fighter;High;Unknown;x
81014;Minister of Armament;Ramil Nadyrov;1003;PA;Infantry Proponent;High;M_TAJ_ramil_nadyrov;x
81015;Minister of Armament;Saidamir Zuhurov;1003;PA;Laissez Faires Capitalist;High;M_TAJ_saidamir_zuhurov;x
81016;Chief of Staff;Saidamir Zuhurov;1003;PA;School of Defence;High;M_TAJ_saidamir_zuhurov;x
81017;Chief of Army;Saidamir Zuhurov;1003;PA;Guns and Butter Doctrine;High;M_TAJ_saidamir_zuhurov;x
81018;Minister of Security;Halifabobo Hamidov;1003;PA;Silent Lawyer;High;Unknown;x
81019;Head of Military Intelligence;Mirzo Ziyoyev;1003;SD;Political Specialist;High;Unknown;x
81020;Head of Military Intelligence;Halifabobo Hamidov;1003;PA;Logistics Specialist;High;Unknown;x
