TAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
81501;Head of State;Benjamin Mkapa;2003;ML;Benevolent Gentleman;High;Unknown;x
81502;Head of Government;Benjamin Mkapa;2003;ML;Flamboyant Tough Guy;High;Unknown;x
81503;Foreign Minister;Bernard Membe;2003;ML;Great Compromiser;High;M_TAN_bernard_membe;x
81504;Minister of Armament;Hussein Mwinyi;2003;ML;Laissez Faires Capitalist;High;M_TAN_hussein_mwinyi;x
81505;Minister of Security;Johnson Mwanyika;2003;ML;Crime Fighter;High;M_TAN_johnson_mwanyika;x
81506;Head of Military Intelligence;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
81507;Chief of Staff;George Waitara;2003;NA;School of Fire Support;High;M_TAN_george_waitara;x
81508;Chief of Army;Iddi Gahu;2003;NA;Elastic Defence Doctrine;High;Unknown;x
81509;Chief of Air Force;Francis Ulomi;2003;NA;Air Superiority Doctrine;High;Unknown;x
81510;Chief of Navy;Mohammad Othman;2003;NA;Indirect Approach Doctrine;High;Unknown;x
81511;Head of State;Jakaya Kikwete;2005;ML;Insignificant Layman;High;M_TAN_jakaya_kikwete;x
81512;Head of Government;Jakaya Kikwete;2005;ML;Silent Workhorse;High;M_TAN_jakaya_kikwete;x
81513;Foreign Minister;Diodorus Kamala;2003;ML;Ideological Crusader;High;M_TAN_diodorus_kamala;x
81514;Foreign Minister;Mohamed Mohamed;2003;ML;Apologetic Clerk;High;M_TAN_mohamed_mohamed;x
81515;Foreign Minister;Seif Iddi;2003;ML;Great Compromiser;High;M_TAN_seif_iddi;x
81516;Minister of Armament;Emmanuel Nchimbi;2003;ML;Corrupt Kleptocrat;High;M_TAN_emmanuel_nchimbi;x
81517;Chief of Staff;Davis Mwamunyange;2007;NA;School of Psychology;High;M_TAN_davis_mwamunyange;x
81518;Chief of Army;Davis Mwamunyange;2003;NA;Armoured Spearhead Doctrine;High;M_TAN_davis_mwamunyange;x
81519;Chief of Staff;Iddi Gahu;2003;NA;School of Defence;High;Unknown;x
81520;Chief of Army;Abdulrahman Shimbo;2003;NA;Guns and Butter Doctrine;High;M_TAN_abdulrahman_shimbo;x
81521;Head of State;Ibrahim Lipumba;2003;SL;Weary Stiffneck;High;M_TAN_ibrahim_lipumba;x
81522;Head of Government;Ibrahim Lipumba;2003;SL;Silent Workhorse;High;M_TAN_ibrahim_lipumba;x
81523;Foreign Minister;Machano Khamis Ali;2003;SL;Apologetic Clerk;High;M_TAN_machano_khamis_ali;x
81524;Minister of Armament;Seif Shariff Hamad;2003;SL;Administrative Genius;High;M_TAN_seif_shariff_hamad;x
