TRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
80501;Head of State;Chen Shui-bian;2003;SL;Stern Imperialist;High;M_TRA_chen_shui-bian;x
80502;Head of Government;Yu Shyi-kun;2003;SL;Political Protege;High;M_TRA_yu_shyi-kun;x
80503;Foreign Minister;Eugene Chien;2003;SL;Biased Intellectual;High;M_TRA_eugene_chien;x
80504;Minister of Armament;Lin Chuan;2003;SL;Laissez Faires Capitalist;High;Unknown;x
80505;Minister of Security;Tsai Tsao-ming;2003;SL;Compassionate Gentleman;High;M_TRA_tsai_tsao-ming;x
80506;Head of Military Intelligence;Dai Po-te;2003;SL;Political Specialist;High;Unknown;x
80507;Chief of Staff;Lee Jye;2003;NA;School of Defence;High;M_TRA_lee_jye;x
80508;Chief of Army;Chu Kai-sheng;2003;NA;Elastic Defense Doctrine;High;M_TRA_chu_kai-sheng;x
80509;Chief of Navy;Chen Pang-chih;2003;NA;Power Projection Doctrine;High;M_TRA_chen_pang-chih;x
80510;Chief of Air Force;Lee Tien-yu;2003;NA;Air Superiority Doctrine;High;M_TRA_lee_tien-yu;x
;Replacements;;;;;;;x
80511;Head of State;Lien Chan;2004;ML;Weary Stiffneck;High;M_TRA_lien_chan;x
80512;Head of State;Lu Hsiu-lien;2003;SL;Die-hard Reformer;High;M_TRA_lu_hsiu-lien;x
80513;Head of Government;James Soong;2004;ML;Die-hard Reformer;High;M_TRA_james_soong;x
80514;Head of State;Frank Hsieh;2008;SL;Corporate Suit;High;M_TRA_frank_hsieh;x
80515;Head of Government;Su Tseng-chang;2006;SL;Flamboyant Tough Guy;High;M_TRA_su_tseng-chang;x
80516;Minister of Armament;Lee Jye;2004;SL;Air Superiority Proponent;High;M_TRA_lee_jye;x
80517;Minister of Armament;Kao Hua-chu;2003;ML;Administrative Genius;High;M_TRA_kao_hua-chu;x
80518;Minister of Armament;Lee Tien-yu;2007;ML;Tank Proponent;High;M_TRA_lee_tien-yu;x
80519;Minister of Security;Hsueh Shih-ming;2003;SL;Silent Lawyer;High;M_TRA_hsueh_shih-ming;x
80520;Minister of Security;Weng Yueh-sheng;2003;ML;Crime Fighter;High;M_TRA_weng_yueh-sheng;x
80521;Minister of Security;Shih Mao-lin;2003;ML;Efficient Sociopath;High;M_TRA_shih_mao-lin;x
80522;Head of Military Intelligence;Hsueh Shih-ming;2003;SL;Logistics Specialist;High;M_TRA_hsueh_shih-ming;x
80523;Head of Military Intelligence;Shih Mao-lin;2003;ML;Technical Specialist;High;M_TRA_shih_mao-lin;x
80524;Head of Military Intelligence;Weng Yueh-sheng;2003;ML;Naval Intelligence Specialist;High;M_TRA_weng_yueh-sheng;x
80525;Chief of Staff;Chu Kai-sheng;2008;NA;School of Fire Support;High;M_TRA_chu_kai-sheng;x
80526;Chief of Staff;Kao Hua-chu;2003;NA;School of Defence;High;M_TRA_kao_hua-chu;x
80527;Chief of Staff;Lee Tien-yu;2007;NA;School of Psychology;High;M_TRA_lee_tien-yu;x
80528;Chief of Army;Kao Hua-chu;2003;NA;Decisive Battle Doctrine;High;M_TRA_kao_hua-chu;x
80529;Head of State;Ma Ying-jeou;2008;ML;Corporate Suit;High;M_TRA_ma_ying-jeou;x
80530;Head of Government;Frank Hsieh;2005;SL;Naive Optimist;High;M_TRA_frank_hsieh;x
80531;Head of Government;Chang Chun-hsiung;2003;SL;Flamboyant Tough Guy;High;M_TRA_chang_chun-hsiung;x
80532;Head of Government;Liu Chao-shiuan;2008;ML;Corporate Suit;High;M_TRA_liu_chao-shiuan;x
80533;Foreign Minister;Mark Chen;2004;SL;Ideological Crusader;High;M_TRA_mark_chen;x
80534;Foreign Minister;James Chih-Fang Huang;2006;SL;The Cloak N Dagger Schemer;High;M_TRA_james_chih-fang_huang;x
80535;Foreign Minister;Francisco Ou;2004;ML;Great Compromiser;High;M_TRA_francisco_ou;x
80536;Minister of Armament;Chen Chao-min;2005;ML;Administrative Genius;High;M_TRA_chen_chao-min;x
