TUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
84001;Head of State;Zayn al-Abedine Bin Ali;2003;PA;Insignificant Layman;High;M_TUN_zayn_al-abedine_bin_ali;x
84002;Head of Government;Mohamed Ghannouchi;2003;PA;Corporate Suit;High;M_TUN_mohamed_ghannouchi;x
84003;Foreign Minister;Habib Ben Yahia;2003;PA;Biased Intellectual;High;M_TUN_habib_ben_yahia;x
84004;Minister of Armament;Dali Jazi;2003;PA;Administrative Genius;High;Unknown;x
84005;Minister of Security;Bechir Tekkari;2003;PA;Man of the People;High;M_TUN_bechir_tekkari;x
84006;Head of Military Intelligence;Unknown;2003;PA;Technical Specialist;High;Unknown;x
84007;Chief of Staff;Chokri Ayachi;2003;PA;School of Defence;High;Unknown;x
84008;Chief of Army;Rashid Amar;2003;PA;Static Defence Doctrine;High;Unknown;x
84009;Chief of Navy;Brahim Barak;2003;PA;Open Seas Doctrine;High;Unknown;x
84010;Chief of Air Force;Rida Hamuda Atar;2003;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
84011;Foreign Minister;Hatem Ben Salem;2003;PA;Ideological Crusader;High;M_TUN_hatem_ben_salem;x
