U09;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
60501;Head of State;Kim Jong-nam;2003;ST;Pig-headed Isolationist;High;M_U09_kim_jong-nam;x
60502;Head of Government;Kim Jong Il;2003;ST;Backroom Backstabber;High;M_U09_kim_jong_il;x
60503;Foreign Minister;Paek Nam Sun;2003;ST;General Staffer;Medium;Unknown;x
60504;Minister of Armament;Il Bong Mun;2003;ST;Administrative Genius;High;M_U09_il_bong_mun;x
60505;Minister of Security;Sang Song Ju;2003;ST;Man of the People;Low;M_U09_sang_song_ju;x
60506;Head of Military Intelligence;Yong Rip Pyon;2003;ST;Industrial Specialist;Medium;M_U09_yong_rip_pyon;x
60507;Chief of Staff;Kim Jong Il;2003;ST;School of Mass Combat;Low;M_U09_kim_jong_il;x
60508;Chief of Army;Il Chol Kim;2003;ST;Static Defence Doctrine;Very High;Unknown;x
60509;Chief of Navy;Il Chol Kim;2003;ST;Open Seas Doctrine;Very Low;Unknown;x
60510;Chief of Air Force;Il Chol Kim;2003;ST;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
