U12;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
40501;Head of State;Laurent Gbagbo;2003;SD;Weary Stiffneck;High;M_U12_laurent_gbagbo;x
40502;Head of Government;Laurent Gbagbo;2003;SD;Ambitious Union Boss;High;M_U12_laurent_gbagbo;x
40503;Foreign Minister;Amary Essy;2003;SD;Great Compromiser;High;M_U12_amary_essy;x
40504;Minister of Armament;Laurent Gbagbo;2003;SD;Corrupt Kleptocrat;High;M_U12_laurent_gbagbo;x
40505;Minister of Security;Desire Tagro;2003;SD;Man of the People;High;M_U12_desire_tagro;x
40506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
40507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
40508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
40509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
40510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
