UKR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
86001;Head of State;Leonid Kuchma;2003;SC;Ruthless Powermonger;High;M_UKR_leonid_kuchma;x
86002;Head of Government;Viktor Yanukovych;2003;SC;Political Protege;High;M_UKR_viktor_yanukovych;x
86003;Foreign Minister;Kostyantyn Gryshchenko;2003;SC;Apologetic Clerk;High;M_UKR_kostyantyn_gryshchenko;x
86004;Minister of Armament;Volodymyr Shkidchenko;2003;SC;Military Entrepreneur;High;Unknown;x
86005;Minister of Security;Mykola Bilokon;2003;SC;Silent Lawyer;High;Unknown;x
86006;Head of Military Intelligence;Valentyn Nalyvaichenko;2003;SC;Political Specialist;High;Unknown;x
86007;Chief of Staff;Oleksandr Zatynayko;2003;NA;School of Psychology;High;M_UKR_oleksandr_zatynayko;x
86008;Chief of Army;Ivan Svyda;2003;NA;Decisive Battle Doctrine;High;M_UKR_ivan_svyda;x
86009;Chief of Navy;Mykhailo Ezhel;2003;NA;Open Seas Doctrine;High;M_UKR_mykhailo_ezhel;x
86010;Chief of Air Force;Anatoliy Toropchyn;2003;NA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
86011;Head of State;Viktor Yanukovych;2004;SC;Autocratic Charmer;High;M_UKR_viktor_yanukovych;x
86012;Head of State;Victor Yuschenko;2004;SL;Die-hard Reformer;High;M_UKR_victor_yuschenko;x
86013;Head of State;Leonid Kravchuk;2004;SC;Apologetic Clerk;High;M_UKR_leonid_kravchuk;x
86014;Head of State;Yulia Tymoshenko;2010;SL;Corporate Suit;High;M_UKR_yulia_tymoshenko;x
86015;Head of State;Nataliya Vitrenko;2003;LE;Ideological Crusader;High;M_UKR_nataliya_vitrenko;x
86016;Head of State;Petro Symonenko;2003;LE;Powerhungry Demagogue;High;M_UKR_petro_symonenko;x
86017;Head of Government;Petro Symonenko;2003;LE;Flamboyant Tough Guy;High;M_UKR_petro_symonenko;x
86018;Head of Government;Yulia Tymoshenko;2004;SL;Corporate Suit;High;M_UKR_yulia_tymoshenko;x
86019;Head of Government;Yuriy Yekhanurov;2005;SL;Silent Workhorse;High;M_UKR_yuriy_yekhanurov;x
86020;Head of Government;Mykola Azarov;2004;SC;Resource Industrialist;High;M_UKR_mykola_azarov;x
86021;Head of Government;Yuriy Lutsenko;2007;SD;Silent Workhorse;High;M_UKR_yuriy_lutsenko;x
