URU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
88001;Head of State;Jorge Batlle;2003;SC;Barking Buffoon;High;M_URU_jorge_batlle;x
88002;Head of Government;Luis Hierro;2003;SC;Political Protege;High;M_URU_luis_hierro;x
88003;Foreign Minister;Didier Opertti;2003;SC;Great Compromiser;High;M_URU_didier_opertti;x
88004;Minister of Armament;Jose Isidro Camacho;2003;SC;Administrative Genius;High;M_URU_jose_isidro_camacho;x
88005;Minister of Security;Guillermo Stirling;2003;SC;Compassionate Gentleman;High;M_URU_guillermo_stirling;x
88006;Head of Military Intelligence;Guillermo Stirling;2003;SC;Dismal Enigma;High;M_URU_guillermo_stirling;x
88007;Chief of Staff;Raul Lago;2003;SC;School of Psychology;High;M_URU_raul_lago;x
88008;Chief of Army;Unknown;2003;SC;Guns and Butter Doctrine;High;Unknown;x
88009;Chief of Navy;Unknown;2003;SC;Indirect Approach Doctrine;High;Unknown;x
88010;Chief of Air Force;Unknown;2003;SC;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
88011;Head of State;Tabaré Vázquez;2005;SC;Benevolent Gentleman;High;M_URU_tabaré_vázquez;x
88012;Head of Government;Rodolfo Novoa;2005;SC;Silent Workhorse;High;M_URU_rodolfo_novoa;x
88013;Foreign Minister;Juanita Amatong;2005;SC;Ideological Crusader;High;M_URU_juanita_amatong;x
88014;Minister of Armament;Azucena Berruti;2005;SC;Laissez Faires Capitalist;High;M_URU_azucena_berruti;x
88015;Minister of Security;José Díaz;2005;SC;Crime Fighter;High;M_URU_josé_díaz;x
88016;Chief of Staff;Azucena Berruti;2005;SC;School of Defence;High;M_URU_azucena_berruti;x
88017;Chief of Army;Ángel Bertolotti;2005;SC;Guns and Butter Doctrine;High;M_URU_ángel_bertolotti;x
88018;Chief of Navy;Tabaré Yamandú Daners;2005;SC;Base Control Doctrine;High;M_URU_tabaré_yamandú_daners;x
88019;Chief of Air Force;Enrique Bonelli;2005;SC;Army Aviation Doctrine;High;M_URU_enrique_bonelli;x
