UZB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
88501;Head of State;Islam Karimov;1003;PA;Ruthless Powermonger;High;M_UZB_islam_karimov;x
88502;Head of Government;Otkir Sultonov;1003;PA;Happy Amateur;High;M_UZB_otkir_sultonov;x
88503;Foreign Minister;Sadyk Safayev;1003;PA;Iron-Fisted Brute;High;M_UZB_sadyk_safayev;x
88504;Minister of Armament;Kadyr Gulyamov;1003;PA;Administrative Genius;High;M_UZB_kadyr_gulyamov;x
88505;Minister of Security;Rustam Inoyatov;1003;PA;Prince of Terror;High;M_UZB_rustam_inoyatov;x
88506;Head of Military Intelligence;Rustam Inoyatov;1003;PA;Dismal Enigma;High;M_UZB_rustam_inoyatov;x
88507;Chief of Staff;Tolqin Djumaev;1003;PA;School of Mass Combat;High;Unknown;x
88508;Chief of Army;Tolqin Djumaev;1003;PA;Decisive Battle Doctrine;High;Unknown;x
88509;Chief of Navy;Unknown;1003;PA;Decisive Naval Battle Doctrine;High;Unknown;x
88510;Chief of Air Force;Takhir Yusupov;1003;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
88511;Head of State;Zakir Almatov;1003;SD;Benevolent Gentleman;High;M_UZB_zakir_almatov;x
88512;Head of State;Rustam Inoyatov;1003;FA;Ruthless Powermonger;High;Unknown;x
88513;Head of Government;Shavkat Mirziyayev;1004;PA;Flamboyant Tough Guy;High;M_UZB_shavkat_mirziyayev;x
88514;Foreign Minister;Elyor Ganiyev;1004;PA;Great Compromiser;High;M_UZB_elyor_ganiyev;x
88515;Minister of Armament;Ruslan Mirzayev;1005;PA;Administrative Genius;High;Unknown;x
88516;Minister of Security; Boritosh Mustofayev;1003;PA;Compassionate Gentleman;High;Unknown;x
