VIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
59501;Head of State;Tanja Mamadou;2003;ML;Resigned Generalissimo;High;M_VIC_tanja_mamadou;x
59502;Head of Government;Hama Amadou;2003;ML;Backroom Backstabber;High;M_VIC_hama_amadou;x
59503;Foreign Minister;Aichatou Mindaoudou;2003;ML;Great Compromiser;High;M_VIC_aichatou_mindaoudou;x
59504;Minister of Armament;Djida Hamadou;2003;ML;Infantry Proponent;High;M_VIC_djida_hamadou;x
59505;Minister of Security;Albadé Abouba;2003;ML;Crooked Kleptocrat;High;M_VIC_albadé_abouba;x
59506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
59507;Chief of Staff;Boureima Moumouni;2003;NA;School of Psychology;High;M_VIC_boureima_moumouni;x
59508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
59509;Chief of Air Force;Salou Souleymane;2003;NA;Army Aviation Doctrine;High;Unknown;x
59510;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;Unknown;x
59511;Head of Government;Seyni Oumarou;2003;ML;Corporate Suit;High;M_VIC_seyni_oumarou;x
