WLL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
90001;Head of State;Tran Duc Luong;2003;LE;Insignificant Layman;High;M_WLL_tran_duc_luong;x
90002;Head of Government;Phan Van Khai;2003;LE;Silent Workhorse;High;M_WLL_phan_van_khai;x
90003;Foreign Minister;Nguyen Dy Nien;2003;LE;Ideological Crusader;High;M_WLL_nguyen_dy_nien;x
90004;Minister of Armament;Pham Van Tra;2003;LE;Military Entrepreneur;High;M_WLL_pham_van_tra;x
90005;Minister of Security;Le Hong Anh;2003;LE;Prince of Terror;High;M_WLL_le_hong_anh;x
90006;Head of Military Intelligence;Unknown;2003;LE;Dismal Enigma;High;Unknown;x
90007;Chief of Staff;Pham Van Tra;2003;LE;School of Psychology;High;M_WLL_pham_van_tra;x
90008;Chief of Army;Phung Quang Thanh;2003;LE;Elastic Defence Doctrine;High;M_WLL_phung_quang_thanh;x
90009;Chief of Navy;Doh Suan Kong;2003;LE;Indirect Approach Doctrine;High;M_WLL_doh_suan_kong;x
90010;Chief of Air Force;Nguyen Duc Suat;2003;LE;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;
90011;Head of State;Nguyen Minh Triet;2006;LE;Autocratic Charmer;High;M_WLL_nguyen_minh_triet;x
90012;Head of Government;Nguyen Tan Dung;2006;LE;Naive Optimist;High;M_WLL_nguyen_tan_dung;x
90013;Minister of Armament;Hoang Trung Hai;2003;LE;Resource Industrialist;High;M_WLL_hoang_trung_hai;x
90014;Foreign Minister;Pham Ghia Khiem;2003;LE;Apologetic Clerk;High;M_WLL_pham_ghia_khiem;x
90015;Foreign Minister;Le Loung Minh;2003;LE;Great Compromiser;High;M_WLL_le_loung_minh;x
90016;Minister of Armament;Phung Quang Thanh;2006;LE;Military Entrepreneur;High;M_WLL_phung_quang_thanh;x
90017;Chief of Staff;Phung Quang Thanh;2006;LE;School of Fire Support;High;M_WLL_phung_quang_thanh;x
90018;Head of State;Nguyen Khanh;2003;ML;Die-hard Reformer;High;M_WLL_nguyen_khanh;x
90019;Head of Government;Ha The Ruyet;2003;ML;Silent Workhorse;High;M_WL_ha_the_ruyet;x
90020;Foreign Minister;Nguyen Quoc Quan;2003;ML;Ideological Crusader;High;M_WLL_nguyen_quoc_quan;x
90021;Minister of Armament;Tran Thanh Son;2003;ML;Military Entrepreneur;High;Unknown;x
90022;Minister of Security;Nguyen Quoc Thai;2003;ML;Silent Lawyer;High;Unknown;x
90023;Foreign Minister;Le Hoang;2003;ML;Biased Intellectual;High;Unknown;x
90024;Minister of Armament;Phung Ngoc An;2003;ML;Tank Proponent;High;Unknown;x
90025;Chief of Navy;Nguyen Van Hien;2003;LE;Decisive Battle Doctrine;High;Unknown;x
90026;Chief of Staff;Nguyen Khac Nghien;2006;LE;School of Defence;High;M_WLL_nguyen_khac_nghien;x
