YEM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
91001;Head of State;Ali Abdullah Saleh;1003;PA;Autocratic Charmer;High;M_YEM_ali_abdullah_saleh;x
91002;Head of Government;Abdul Qadir Bajamal;1003;PA;Silent Workhorse;High;M_YEM_abdul_qadir_bajamal;x
91003;Foreign Minister;Abu Bakr al-Qirbi;1003;PA;Apologetic Clerk;High;M_YEM_abu_bakr_al-qirbi;x
91004;Minister of Armament;Abdullah Ali Alewa;1003;PA;Resource Industrialist;High;Unknown;x
91005;Minister of Security;Ahmed Akbat;1003;PA;Crime Fighter;High;Unknown;x
91006;Head of Military Intelligence;Hussein Dhaifallah al-Awadhi;1003;PA;Logistics Specialist;High;Unknown;x
91007;Chief of Staff;Abdullah Ali Alewa;1003;PA;School of Manoeuvre;High;Unknown;x
91008;Chief of Army;Ali Mohammed al-Qassimi;1003;PA;Decisive Battle Doctrine;High;Unknown;x
91009;Chief of Navy;Unknown;1003;PA;Decisive Naval Battle Doctrine;High;Unknown;x
91010;Chief of Air Force;Unknown;1003;PA;Air Superiority Doctrine;High;Unknown;x
