units = {

    navy = {
        name = "Marinha do Brasil"
        base = 10980 
		location = 10980
		ship = { name = "NAe Sao Paulo" definition = carrier equipment = { carrier_0 = { amount = 1 owner = BRA } } air_wings = {} }
		ship = { name = "F Niterói" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA } } }
		ship = { name = "F Defensora" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA } } }
		ship = { name = "F Constituição" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA } } }
		ship = { name = "F Liberal" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA } } }
		ship = { name = "F Independência" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA } } }
		ship = { name = "F União" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA } } }
		ship = { name = "F Greenhalgh" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA version_name = "Type 22 Broadsword-Class" } } }
		ship = { name = "F Rademaker" definition = frigate equipment = { frigate_2 = { amount = 1 owner = BRA version_name = "Type 22 Broadsword-Class" } } }
		ship = { name = "Cv Inhaúma" definition = corvette equipment = { missile_corvette_2 = { amount = 1 owner = BRA } } }
		ship = { name = "Cv Jaceguai" definition = corvette equipment = { missile_corvette_2 = { amount = 1 owner = BRA } } }
		ship = { name = "Cv Júlio de Noronha" definition = corvette equipment = { missile_corvette_2 = { amount = 1 owner = BRA } } }
		ship = { name = "Cv Barroso" definition = corvette equipment = { missile_corvette_3 = { amount = 1 owner = BRA } } }
		ship = { name = "S Tupi" definition = diesel_attack_submarine equipment = { diesel_attack_submarine_2 = { amount = 1 owner = BRA } } }
		ship = { name = "S Tamoio" definition = diesel_attack_submarine equipment = { diesel_attack_submarine_2 = { amount = 1 owner = BRA } } }
		ship = { name = "S Timbira" definition = diesel_attack_submarine equipment = { diesel_attack_submarine_2 = { amount = 1 owner = BRA } } }
		ship = { name = "S Tapajó" definition = diesel_attack_submarine equipment = { diesel_attack_submarine_2 = { amount = 1 owner = BRA } } }
		ship = { name = "S Tikuna" definition = diesel_attack_submarine equipment = { diesel_attack_submarine_2 = { amount = 1 owner = BRA } } }
        }
}		

		
        
