units = {

	navy = {		
		name = "Royal Navy Surface Fleet"				
		base = 540
		location 540
		ship = { name = "HMS Daring" definition = destroyer #Removed = { missile_destroyer_4 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Dauntless" definition = destroyer #Removed = { missile_destroyer_4 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Diamond" definition = destroyer #Removed = { missile_destroyer_4 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Dragon" definition = destroyer #Removed = { missile_destroyer_4 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Defender" definition = destroyer #Removed = { missile_destroyer_4 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Duncan" definition = destroyer #Removed = { missile_destroyer_4 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Argyll" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Lancaster" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Iron Duke" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Monmouth" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Montrose" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Westminster" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Northumberland	" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Richmond" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Somerset" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Sutherland" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Kent" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Portland" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS St Albans" definition = frigate #Removed = { missile_frigate_3 = { amount = 1 owner = ENG } } }
		}
		
	navy = {		
		name = "Royal Navy Submarine Service"				
		base = 540
		location 540
		ship = { name = "HMS Torbay" definition = attack_submarine #Removed = { attack_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Trenchant" definition = attack_submarine #Removed = { attack_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Talent" definition = attack_submarine #Removed = { attack_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Triumph" definition = attack_submarine #Removed = { attack_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Astute" definition = attack_submarine #Removed = { attack_submarine_5 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Ambush" definition = attack_submarine #Removed = { attack_submarine_5 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Artful" definition = attack_submarine #Removed = { attack_submarine_5 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Vanguard" definition = missile_submarine #Removed = { missile_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Victorious" definition = missile_submarine #Removed = { missile_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Vigilant" definition = missile_submarine #Removed = { missile_submarine_3 = { amount = 1 owner = ENG } } }
		ship = { name = "HMS Vengeance" definition = missile_submarine #Removed = { missile_submarine_3 = { amount = 1 owner = ENG } } }
		}
